"School Number",Latitude,Longitude,Easting,Northing
"6662044",52.504695,-3.518,297062,290727
"6662048",52.512439,-3.317747,310669,291321
"6662049",52.69568,-3.155527,322004,311515
"6662050",52.443478,-3.544579,295112,283956
"6662051",52.687977,-3.075539,327397,310574
"6662053",52.730712,-3.006307,332143,315260
"6662054",52.539848,-3.077029,327050,294099
"6662056",52.512439,-3.317747,310669,291321
"6662057",52.762347,-3.2688,314480,319059
"6662058",52.625205,-3.739906,282324,304470
"6662059",52.80938,-3.345819,309381,324385
"6662060",52.506386,-3.324154,310222,290656
"6662062",52.511502,-3.308214,311314,291205
"6662066",52.196316,-3.29171,311808,256128
"6662068",52.350138,-3.309081,310930,273258
"6662070",52.239442,-3.372442,306381,261026
"6662071",52.297796,-3.237998,315672,267351
"6662075",52.268394,-3.020319,330470,263850
"6662076",52.239017,-3.150688,321522,260715
"6662077",52.273816,-3.330888,309289,264797
"6662079",51.949043,-3.390214,304549,228751
"6662080",51.949875,-3.388333,304680,228841
"6662084",52.107624,-3.639805,287794,246745
"6662089",52.147124,-3.408872,303694,250806
"6662092",51.946346,-3.569021,292254,228701
"6662113",51.86423,-3.139979,321599,219019
"6662115",51.965447,-3.433399,301617,230633
"6662116",52.072429,-3.126751,322869,242161
"6662117",51.86687,-3.230471,315373,219414
"6662122",52.134818,-3.528471,295482,249603
"6662125",51.944893,-3.400517,303832,228303
"6662127",51.952539,-3.38194,305125,229129
"6662129",52.578759,-3.334862,309644,298719
"6662146",52.822212,-3.2946,312859,325749
"6662147",52.845134,-3.175635,320917,328161
"6662148",52.508495,-3.31884,310587,290884
"6662149",51.801842,-3.715443,281812,212858
"6662150",51.78312,-3.74744,279556,210828
"6662151",51.765797,-3.770567,277914,208940
"6662152",51.774089,-3.781792,277162,209881
"6662153",52.001086,-3.232452,315489,234344
"6662154",52.663756,-3.151272,322235,307959
"6663000",52.774219,-3.201859,319019,320302
"6663002",52.562879,-3.145515,322446,296732
"6663016",52.601938,-3.141263,322803,301072
"6663021",52.761393,-3.084016,326947,318749
"6663022",52.640951,-3.23809,316320,305520
"6663026",52.188772,-3.124975,323191,255099
"6663030",52.2461,-3.376647,306108,261772
"6663031",52.212551,-3.44023,301693,258125
"6663033",52.0811,-3.151612,321180,243152
"6663035",52.341238,-3.043529,329003,271974
"6663036",52.315072,-3.50752,297333,269621
"6663037",52.156264,-3.39482,304675,251804
"6663046",52.81203,-3.22311,317657,324532
"6663050",51.941081,-3.265539,313102,227709
"6663051",52.656378,-3.143568,322743,307130
"6663301",52.501799,-3.256215,314824,290063
"6663303",52.774982,-3.153123,322308,320333
"6663316",51.876721,-3.10681,323904,220373
"6663317",52.036889,-3.272427,312815,238373
"6663318",51.952302,-3.39142,304473,229115
