National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,,,,
,,,,,,,
Primary schools / Ysgolion cynradd,,,,,,,
,,,,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                        
Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,,,,
,,,,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth",,,
6612009,YSGOL ABERSOCH,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612010,YSGOL BEDDGELERT,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612011,Ysgol Bethel,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612013,Ysgol Bodfeurig,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612015,YSGOL GYNRADD BORTH-Y-GEST,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612017,Ysgol Brynaerau,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612026,Ysgol Y Gelli,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612028,Ysgol Penybryn,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612033,Ysgol Treferthyr,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612036,Ysgol Gynradd Chwilog,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612039,YSGOL CRUD-Y-WERIN,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612042,Ysgol Dolbadarn,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612046,Ysgol Gynradd Edern,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612047,Ysgol Felinwnda,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612048,Ysgol Bro Plenydd,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612049,Ysgol Gynradd Garndolbenmaen,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612051,Ysgol Glanadda,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612059,Ysgol Gynradd Llanaelhaearn,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612060,Ysgol Gynradd Llanbedrog,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612066,Ysgol Gynradd Llangybi,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612069,Ysgol Llanllechid,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612070,Ysgol Gynradd Llanllyfni,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612075,YSGOL BABANOD MORFA NEFYN,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612078,Ysgol Baladeulyn,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612081,Ysgol Gynradd Nebo,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612085,Ysgol Gymuned Penisarwaun,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612089,Ysgol Bro Lleu,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612093,YSGOL GYNRADD  PENTREUCHAF,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612097,Ysgol Rhiwlas,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612098,Ysgol Gynradd Rhosgadfan,Gwynedd / Gwynedd,GwE / GwE,Amber/Oren,,,
6612099,Ysgol Gynradd Rhostryfan,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612103,YSGOL SARN BACH,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612104,Ysgol Eifion Wyn,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612108,Ysgol Gynradd Talysarn,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612110,YSGOL Y GORLAN,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612111,Ysgol yr Eifl,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612112,YSGOL GYNRADD TUDWEILIOG,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612113,Ysgol Waunfawr,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612116,Ysgol Glancegin,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612118,Ysgol Babanod Coedmawr,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612119,Ysgol Yr Hendre,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612122,Ysgol Bontnewydd,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612123,Ysgol Gymraeg y Garnedd,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612125,Ysgol Cymerau,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612126,Ysgol Abercaseg (Babanod),Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612127,Ysgol y Felinheli,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612181,Ysgol y Traeth,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612185,Ysgol Gynradd Dyffryn Dulas,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612189,Ysgol Gynradd Dyffryn Ardudwy,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612190,Ysgol Bro Cynfal,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612192,Ysgol Edmwnd Prys,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612194,Ysgol Gynradd Llanbedr,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612198,YSGOL Y GARREG,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612199,Ysgol O M Edwards,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612205,Ysgol Manod,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612207,Ysgol Gynradd Pennal,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
