National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,,,,
,,,,,,,
Primary schools / Ysgolion cynradd,,,,,,,
,,,,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                        
Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,,,,
,,,,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth",,,
6632261,Ysgol Bro Cinmeirch,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd,,,
6632262,Ysgol Bro Famau,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,,,
6632263,Ysgol Gymraeg y Gwernant,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd,,,
6632264,Ysgol Clawdd Offa,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,,,
6632265,Bodnant Community Primary School,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd,,,
6632266,Ysgol Pendref,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,,,
6632267,Ysgol_Bro_Dyfrdwy,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,,,
6632268,Ysgol Carreg Emlyn,Denbighshire / Sir Ddinbych,GwE / GwE,Amber/Oren,,,
6633020,Ysgol Tremeirchion,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,,,
6633024,St Asaph Infants School,Denbighshire / Sir Ddinbych,GwE / GwE,Amber/Oren,,,
6633044,Ysgol Llanbedr,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,,,
6633045,Ysgol Llanfair Dyffryn Clwyd,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,,,
6633050,Ysgol Borthyn,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,,,
6633057,Ysgol Pant Pastynog,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd,,,
6633061,Ysgol Dyffryn Ial,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd,,,
6633062,Ysgol Esgob Morgan,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd,,,
6633316,Ysgol Trefnant,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd,,,
6635901,St Brigid's School,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd,,,
6635902,Christ The Word,Denbighshire / Sir Ddinbych,GwE / GwE,Amber/Oren,,,
6642002,Ysgol Glan Aber,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642003,Ysgol Merllyn,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642004,Westwood CP,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642012,Ewloe Green,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642013,Bryn Garth CP,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642015,Ysgol Gwynedd CP,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642018,Ysgol Maesglas,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642021,Ysgol Gymraeg Mornant,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642024,Ysgol Estyn Community School,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642026,Lixwm CP School,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642028,Ysgol Glanrafon,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642032,Northop Hall,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642040,Wood Memorial Primary School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642041,Sealand CP School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642043,Sychdyn CP,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642044,Trelogan Primary,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642046,Bryn Pennant CP,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642049,Ysgol Bro Carmel,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642050,Rhos Helyg School,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642051,Ysgol Terrig,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642052,Ysgol Bryn Deva,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642053,Sandycroft CP,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642056,Gwernymynydd CP School,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642061,Queensferry Community Primary School,Flintshire / Sir y Fflint,GwE / GwE,Amber/Oren,,,
6642062,Ysgol Bryn Coch,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642063,Mountain Lane Primary School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642064,"Ysgol y Foel, Cilcain",Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642065,Brynford CP,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642068,Ysgol Bryn Gwalia,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642077,Golftyn CP School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642078,Saltney Ferry CP,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642081,Y Waun,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642082,Ysgol Gwenffrwd,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642084,Abermorddu CP School,Flintshire / Sir y Fflint,GwE / GwE,Red/Coch,,,
6642085,Southdown CP,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642086,Wepre Community School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642089,Drury Primary School,Flintshire / Sir y Fflint,GwE / GwE,Amber/Oren,,,
6642091,Cornist Park CP,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642092,Ysgol Derwenfa CP,Flintshire / Sir y Fflint,GwE / GwE,Amber/Oren,,,
6642093,Penarlag CP,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642094,Owen Jones CP,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642237,Gronant Primary School,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642257,Ysgol Gymraeg Croes Atti,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642266,Ysgol Parc y Llan,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6642267,Ysgol Mynydd Isa,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642268,Broughton Primary School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642269,Ysgol Cae'r Nant,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642270,Ysgol Penyffordd,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642271,Ysgol Ty Ffynnon,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6642272,Ysgol Maes Y Felin,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6643002,Nannerch V.C.P. School,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6643303,Ysgol Yr Esgob C in W,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6643306,St Mary's,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6643307,St Winefrides,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6643308,St David's Catholic Primary School,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6643311,St Anthony's Catholic Primary,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6643312,Venerable Edward Morgan RC,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6643316,Trelawnyd,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6643320,Ysgol y Llan VA Primary School Whitford,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6643330,St. Ethelwolds,Flintshire / Sir y Fflint,GwE / GwE,Amber/Oren,,,
6643331,St John the Baptist VA School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6643332,Nercwys VA,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,,,
6643333,Hawarden Village VA,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6645200,Derwen Foundation School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,,,
6652076,The Rofft CP School,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652137,Froncysyllte,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652138,Garth CP,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652139,Ysgol Cynddelw,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652140,Llanarmon DC School,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652149,Ysgol Acrefair,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652151,Cefn Mawr C P School,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652160,Ysgol Maes-y-Llan,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652162,Ysgol Min y Ddol,Wrexham / Wrecsam,GwE / GwE,Amber/Oren,,,
6652173,Alexandra C P School,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652176,Brynteg C P School,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652178,BWLCHGWYN SCHOOL,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652179,Ysgol Tan-y-Fron,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652187,Black Lane C P School,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652191,Rhosddu County Primary,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652200,Rhostyllen CP School,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652204,Ysgol Deiniol C P,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652208,Barker's Lane CP,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652209,Wat's Dyke County Primary,Wrexham / Wrecsam,GwE / GwE,Amber/Oren,,,
6652224,Ysgol Bryn Tabor,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652232,Ysgol Sant Dunawd,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652235,Holt C.P. School,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652238,Ysgol Bodhyfryd,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652259,Ysgol I.D. Hooson,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652263,Ysgol Plas Coch,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652266,Penygelli C P School,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652267,Ysgol Penrhyn New Broughton CP,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652268,Ysgol Heulfan,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652269,Hafod y Wern Community Primary School,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652270,Gwenfro Community Primary,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652271,Park Community Primary School Llay,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652272,Rhosymedre Community Primary,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652273,Ysgol Maes y Mynydd,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652274,Gwersyllt Community Primary School,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652275,Penycae Community Primary School,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652276,Acton Primary,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652277,Victoria Community Primary,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652278,Ysgol Y Waun,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6652279,Ysgol Bro Alun,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652280,"Ysgol Yr Hafod, Johnstown",Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6652281,Borras Park Community Primary,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6653028,St Peter's School,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6653036,Pentre CIW Voluntary Controlled,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6653042,Eyton Primary School,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6653054,BORDERBROOK SCHOOL,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6653055,St Giles Controlled Primary School,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6653301,BRONINGTON CHURCH IN WALES V.A,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6653305,Madras VA School,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6653326,St Chad's Church in Wales Aided School,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6653334,St Mary's RC Primary,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6653337,Minera,Wrexham / Wrecsam,GwE / GwE,Amber/Oren,,,
6653338,All Saints Voluntary Aided Sch,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6653341,St Mary's Church in Wales,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,,,
6653342,Brymbo Aided (St. Mary's),Wrexham / Wrecsam,GwE / GwE,Amber/Oren,,,
6653343,St Anne's Catholic Primary,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6653346,St Mary's Overton,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6653347,St Paul's Voluntary Aided,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,,,
6662002,ABERMULE PRIMARY SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662003,ARDDLEEN C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662004,BANW C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662005,BERRIEW C.P. SCHOOL,Powys / Powys,ERW / ERW,Amber/Oren,,,
6662008,CAERSWS C.P. SCHOOL,Powys / Powys,ERW / ERW,Amber/Oren,,,
6662009,CARNO C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662010,CARREGHOFA C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662018,LEIGHTON C.P. SCHOOL,Powys / Powys,ERW / ERW,Amber/Oren,,,
6662019,YSGOL LLANBRYNMAIR,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662020,LLANDINAM C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662021,LLANFAIR CAEREINION C.P.,Powys / Powys,ERW / ERW,Amber/Oren,,,
6662033,MEIFOD C.P. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662040,PENYGLODDFA C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662041,PONTROBERT C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662044,YSGOL DYFFRYN TRANNON,Powys / Powys,ERW / ERW,Red/Coch,,,
6662048,LADYWELL GREEN INFANTS SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662049,GUILSFIELD C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662050,LLANIDLOES C.P. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662051,BUTTINGTON TREWERN C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662053,BRYNHAFREN C.P. SCHOOL,Powys / Powys,ERW / ERW,Red/Coch,,,
6662054,CHURCHSTOKE C.P. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662056,HAFREN C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662057,YSGOL GYNRADD LLANFYLLIN,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662058,YSGOL GYNRADD GLANTWYMYN,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662059,YSGOL PENNANT,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662060,MAESYRHANDIR C.P. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662062,TREOWEN C.P. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662066,FRANKSBRIDGE C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662068,LLANBISTER C.P. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662070,LLANDRINDOD WELLS C.P. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662071,LLANFIHANGEL RHYDITHON C.P.,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662075,PRESTEIGNE C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662076,RADNOR VALLEY C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662077,CROSSGATES C.P. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662079,MOUNT STREET C.P. JUNIOR,Powys / Powys,ERW / ERW,Amber/Oren,,,
6662080,MOUNT STREET C.P. INFANTS,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662084,YSGOL DOLAFON,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662089,BUILTH WELLS C.P. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662092,SENNYBRIDGE C.P. SCHOOL,Powys / Powys,ERW / ERW,Amber/Oren,,,
6662113,CRICKHOWELL C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662115,CRADOC C.P. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662116,HAY-ON-WYE C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662117,LLANGYNIDR C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662122,IRFON VALLEY C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662125,LLANFAES C.P. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662127,YSGOL Y BANNAU,Powys / Powys,ERW / ERW,Amber/Oren,,,
6662129,YSGOL RHIW BECHAN,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662146,LLANRHAEADR YM MOCHNANT C.P. SCHOOL,Powys / Powys,ERW / ERW,Amber/Oren,,,
6662147,YSGOL BRO CYNLLAITH,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662148,YSGOL DAFYDD LLWYD,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662149,YSGOL Y CRIBARTH,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662150,YSGOL GOLWG Y CWM,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662151,YSGOL BRO TAWE,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662152,YSGOL GYMRAEG DYFFRYN Y GLOWYR,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6662153,YSGOL Y MYNYDD DU ,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6662154,YSGOL GYMRAEG Y TRALLWNG,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6663000,LLANFECHAIN C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6663002,MONTGOMERY C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6663016,FORDEN C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6663021,LLANDYSILIO C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6663022,CASTLE CAEREINION C.I.W.,Powys / Powys,ERW / ERW,Amber/Oren,,,
6663026,GLADESTRY C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6663030,YSGOL TREFONNEN CHURCH IN WALES COMMUNITY PRIMARY,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6663031,NEWBRIDGE-ON-WYE CHURCH IN WALES SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6663033,CLYRO C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6663035,KNIGHTON C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6663036,RHAYADER C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6663037,LLANELWEDD CHURCH IN WALES PRIMARY SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6663046,LLANGEDWYN PRIMARY SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6663050,LLANGORS  C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6663051,WELSHPOOL CHURCH IN WALES PRIMARY SCHOOL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6663301,ST. MICHAEL'S C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Amber/Oren,,,
6663303,LLANSANTFFRAID C.I.W.A.,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6663316,LLANBEDR C.I.W. (AIDED),Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6663317,ARCHDEACON GRIFFITHS C.I.W. PRIMARY SCHOOL,Powys / Powys,ERW / ERW,Amber/Oren,,,
6663318,PRIORY CHURCH IN WALES SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6663320,ST MARY`S R.C. (A) SCHOOL,Powys / Powys,ERW / ERW,Amber/Oren,,,
6663322,LLANGATTOCK C.I.W. SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,,,
6665200,YSGOL GYNRADD LLANERFYL,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6665500,Ysgol Bro Hyddgen,Powys / Powys,ERW / ERW,Yellow/Melyn,,,
6672281,YSGOL GYMUNEDOL GYNRADD ABERAERON,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672285,YSGOL GYMUNEDOL CILIAU PARC,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672288,YSGOL GYMUNEDOL DIHEWYD,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6672289,YSGOL GYMUNEDOL FELINFACH,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6672291,YSGOL GYMUNEDOL LLANARTH,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6672293,YSGOL GYMUNEDOL LLANNON,Ceredigion / Sir Ceredigion,ERW / ERW,Amber/Oren,,,
6672295,YSGOL GYMUNEDOL CEI NEWYDD,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6672298,YSGOL GYMUNEDOL TALGARREG,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6672299,YR YSGOL GYMUNEDOL GYMRAEG,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672303,YSGOL GYMUNEDOL COMINS COCH,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672308,YSGOL GYMUNEDOL LLANFARIAN,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672309,YSGOL GYMUNEDOL LLANFIHANGEL-Y-CREUDDYN,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672310,YSGOL GYMUNEDOL LLANGWYRYFON,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672311,YSGOL LLANILAR,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672312,YSGOL GYMUNEDOL MYNACH,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672313,YSGOL PENLLWYN,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6672314,YSGOL GYMUNEDOL LLWYNYREOS,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672315,YSGOL GYMUNEDOL SYR JOHN RHYS,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672316,YSGOL GYMUNEDOL RHYDYPENNAU,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6672317,YSGOL GYMUNEDOL TALYBONT,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6672319,YSGOL GYMUNEDOL ABERPORTH,Ceredigion / Sir Ceredigion,ERW / ERW,Amber/Oren,,,
6672323,YSGOL GYMUNEDOL LLECHRYD,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672324,YSGOL GYMUNEDOL PENPARC,Ceredigion / Sir Ceredigion,ERW / ERW,Amber/Oren,,,
6672353,YSGOL GYMUNEDOL PONTRHYDFENDIGAID,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672361,YSGOL GYMUNEDOL PLASCRUG,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672362,YSGOL CRAIG YR WYLFA,Ceredigion / Sir Ceredigion,ERW / ERW,Amber/Oren,,,
6672363,YSGOL PENRHYNCOCH,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6672366,YSGOL GYMUNEDOL Y DDERI,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672367,YSGOL GYMUNEDOL CENARTH,Ceredigion / Sir Ceredigion,ERW / ERW,Amber/Oren,,,
6672368,YSGOL GYNRADD ABERTEIFI,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672369,YSGOL BRO SION CWILT,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6672371,YSGOL GYNRADD T LLEW JONES,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
