National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,
,,,,
Secondary schools / Ysgolion uwchradd,,,,
,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                  Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,
,,,,
,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth"
6664002,LLANIDLOES HIGH SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd
6664011,Newtown High School,Powys / Powys,ERW / ERW,Red/Coch
6664013,WELSHPOOL HIGH SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd
6664021,Ysgol Maesydderwen,Powys / Powys,ERW / ERW,Amber/Oren
6664022,BRECON HIGH SCHOOL,Powys / Powys,ERW / ERW,Red/Coch
6664023,Gwernyfed High School,Powys / Powys,ERW / ERW,Green/Gwyrdd
6664024,Crickhowell High School,Powys / Powys,ERW / ERW,Green/Gwyrdd
6664025,Ysgol Calon Cymru,Powys / Powys,ERW / ERW,Red/Coch
6665500,Ysgol Bro Hyddgen,Powys / Powys,ERW / ERW,Yellow/Melyn
6674042,GYFUN ABERAERON COMPREHENSIVE,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn
6674044,Ysgol Uwchradd Aberteifi,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd
6674047,Penglais School,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn
6674048,YSGOL GYFUN PENWEDDIG,Ceredigion / Sir Ceredigion,ERW / ERW,Amber/Oren
6675500,Ysgol Bro Pedr,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn
6675501,Ysgol Henry Richard,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn
6675502,Ysgol Bro Teifi,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd
6684031,Ysgol Bro Gwaun,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd
6684035,Ysgol Greenhill School,Pembrokeshire / Sir Benfro,ERW / ERW,Red/Coch
6684038,Ysgol Harri Tudur / Henry Tudor School,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren
6684063,Milford Haven School,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren
6684064,Ysgol y Preseli,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd
6684512,Haverfordwest High VC School,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren
6685500,Ysgol Caer Elen,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn
6685900,Ysgol Penrhyn Dewi,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn
6694029,Ysgol Dyffryn Aman,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd
6694050,Coedcae School,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd
6694052,Ysgol Gyfun Y Strade,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd
6694053,Glan-y-Mor School,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd
6694054,Bryngwyn School,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd
6694056,Ysgol Gyfun Gymraeg Bro Myrddin,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd
6694060,Ysgol Gyfun Emlyn,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn
6694063,Queen Elizabeth High School,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren
6694064,Ysgol Maes Y Gwendraeth,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd
6694065,Ysgol Bro Dinefwr,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn
6694512,Dyffryn Taf,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn
6694600,St John Lloyd Catholic Comprehensive School,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn
6704031,Cefn Hengoed,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6704032,OLCHFA SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6704033,MORRISTON COMPREHENSIVE,Swansea / Abertawe,ERW / ERW,Yellow/Melyn
6704043,PENTREHAFOD SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6704044,BISHOP GORE SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6704062,Penyrheol Comprehensive School,Swansea / Abertawe,ERW / ERW,Yellow/Melyn
6704063,Gowerton Comprehensive School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6704069,BISHOPSTON COMPREHENSIVE,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6704072,Pontarddulais Comprehensive School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6704074,Ysgol Gyfun Gwyr,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6704075,BIRCHGROVE,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6704076,Dylan Thomas Community School,Swansea / Abertawe,ERW / ERW,Yellow/Melyn
6704078,Ysgol Gyfun Gymraeg Bryn Tawe,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6704600,Bishop Vaughan School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6714064,Cefn Saeson Comprehensive School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn
6714065,Cwmtawe Community School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd
6714066,Llangatwg Community School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn
6714067,Dwr Y Felin Comprehensive School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd
6714601,St Joseph's RC School and 6th Form Centre,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn
6715500,Ysgol Bae Baglan,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn
6715501,Ysgol Gymraeg Ystalyfera Bro Dur,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd
6715502,Ysgol Cwm Brombil,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn
6724059,Cynffig Comprehensive,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6724068,Bryntirion Comprehensive.,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6724071,Maesteg Comprehensive School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren
6724076,PENCOED COMPREHENSIVE,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren
6724078,Brynteg  School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6724080,PORTHCAWL COMPREHENSIVE SCHOOL,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
