"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)"
"Isle of Anglesey (1)",".",595,760,735,670,680,725,650,690,".",".",".",".",".",".",".","."
"Gwynedd (1)",".",1155,1245,1290,1315,1200,1150,1200,1120,".",".",".",".",".",".",".","."
"Conwy (1)",".",1070,1145,1120,1115,1080,1070,1055,1040,".",".",".",".",".",".",".","."
"Denbighshire (1)",25,1020,1105,1040,1005,1020,975,930,970,".",".",".",".",".",".",".","."
"Flintshire (1)",55,1635,1800,1760,1655,1675,1715,1550,1630,".",".",".",".",".",".",".","."
"Wrexham (1)",75,1570,1715,1605,1615,1510,1460,1425,1335,".",".",".",".","*",".",".","*"
"Powys (2)",205,880,1375,1310,1305,1355,1330,1280,1310,".",".",".",".",".",".",".","."
"Ceredigion (2)",".",225,755,635,590,605,630,620,580,".",".",".","*",".",".",".","."
"Pembrokeshire (2)",340,1135,1290,1285,1305,1275,1260,1235,1200,".",".",".",".",".",".",".","."
"Carmarthenshire (2)",280,1475,2045,1975,1955,1860,1845,1830,1865,".",".",".",".",".",".",".","."
"Swansea (2)",795,2495,2775,2585,2545,2450,2495,2510,2410,".",".",".",".",".",".",".","."
"Neath Port Talbot (2)",485,1530,1525,1475,1510,1575,1410,1345,1360,".",".",".",".",".",".",".","."
"Bridgend (3)",315,1445,1620,1620,1480,1565,1475,1475,1425,".",".",".",".",".",".",".","."
"Vale of Glamorgan (3)",450,1155,1640,1575,1475,1485,1415,1465,1345,".",".",".",".",".",".",".","."
"Rhondda Cynon Taf (3)",850,2545,2760,2680,2700,2690,2555,2650,2380,".",".",".",".",".",".",".","."
"Merthyr Tydfil (3)",90,515,795,675,665,675,640,635,610,".",".",".",".",".",".",".","."
"Caerphilly (4)",515,2020,2180,2075,2040,1985,2075,1965,1930,".",".",".",".",".",".",".","."
"Blaenau Gwent (4)",230,735,770,690,750,665,705,635,635,".",".",".",".",".",".",".","."
"Torfaen (4)",".",880,1130,1050,1095,1085,975,905,975,".",".",".",".",".",".",".","."
"Monmouthshire (4)",90,385,900,880,870,875,885,905,840,".",".",".",".",".",".",".","."
"Newport (4)",235,1210,1950,1800,1655,1720,1660,1665,1650,".",".",".",".",".",".",".","."
"Cardiff (3)",590,3495,4215,4095,3840,3750,3470,3485,3385,".",".",".",".",".",".",".","."
"Wales (5)",5620,29165,35490,33965,33155,32785,31915,31415,30680,".",".",".","*","*",".",".","*"


