"","","","2011-12 ","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","Carmarthenshire - Middle ",".",".",".",".",".",".",".",".","."
"","","Carmarthenshire - Special ",294.924,236.218,330.111,166.393,-65.505,-2.79400000000001,109.441,180.286,-304.349
"","Swansea ","",5131.43684,6199.22,7293.26261,9752.17639,9546.70747,7574.76661,7100.70676,8600.43173,7729.30783
"","Swansea ","Swansea - Nursery ",".",".",".",".",".",".",".",".","."
"","","Swansea - Primary ",3958.97184,4386.078,5071.70145,6719.95839,7026.48347,5433.32275,5310.96284,5694.09194,4697.85448
"","","Swansea - Secondary ",1037.65,1769.855,2156.57816,2799.369,2188.589,1687.15686,1612.64625,2730.33179,2777.16309
"","","Swansea - Middle ",".",".",".",".",".",".",".",".","."
"","","Swansea - Special ",134.815,43.287,64.983,232.849,331.635,454.287,177.09767,176.008,254.29026
"","Neath Port Talbot ","",2723,3389,2941,2765,3215,2755,2870,1118,-633
"","Neath Port Talbot ","Neath Port Talbot - Nursery ",".",".",".",".",".",".",".",".","."
"","","Neath Port Talbot - Primary ",2157,2467,1920,2125,2321,2007,2325,1653,637
"","","Neath Port Talbot - Secondary ",423,778,836,520,762,484,327,97,109.3
"","","Neath Port Talbot - Middle ",".",".",".",".",".",137,57,-632,-1074
"","","Neath Port Talbot - Special ",143,144,185,120,132,127,161,0,-305.3
"","Bridgend ","",4013,3738,2466.5,2409.955187,2155,865,360,614,108
"","Bridgend ","Bridgend - Nursery ",144,27,0,0,".",".",".",".","."
"","","Bridgend - Primary ",1588,1328,1144.5,1571.094813,1533,466,261,352,-543
"","","Bridgend - Secondary ",1622,1703,829,400.571524,162,-151,-436,-199,92
"","","Bridgend - Middle ",".",".",".",".",".",".",".",".","."
"","","Bridgend - Special ",659,680,493,438.28885,460,550,535,461,559
"","Vale of Glamorgan ","",3497,3299.04161,3067.76679,2708,2946.347,2321.826,2622.733,2680,839.049539999999
"","Vale of Glamorgan ","Vale of Glamorgan - Nursery ",124.23,117.55526,124.6918,55,39.327,36.601,36.919,44,48.45004
"","","Vale of Glamorgan - Primary ",2471.86,2064.70303,1930,1901,2039.463,1639.884,1806.52,2055,803.70684
"","","Vale of Glamorgan - Secondary ",588.69,934.71705,772.07499,686,506.824,529.299,731.79,616,17.41731
"","","Vale of Glamorgan - Middle ",".",".",".",".",250.546,55.514,-52.067,-23,-112.53462
"","","Vale of Glamorgan - Special ",312.22,182.06627,241,66,110.187,60.528,99.571,-12,82.00997
"","Rhondda Cynon Taf ","",5872.442,5767.3136,4285.695564,3710.54104,3618.840727,2150.98989,3406.44021,3007.019892,2378.58408
"","Rhondda Cynon Taf ","Rhondda Cynon Taf - Nursery ",93.57,4.597,-0.091,-11.339,-13.917,0,".",".","."
"","","Rhondda Cynon Taf - Primary ",4310.832,4458.105,4131.430005,4326.498201,4181.223017,2835.45005,4173.93526,3704.539522,2933.44736
"","","Rhondda Cynon Taf - Secondary ",966.246,673.3936,-782.304999,-1550.099001,-1272.051,-1310.701,-1628.44394,-1729.05686,-1190.53617
"","","Rhondda Cynon Taf - Middle ",".",".",409.303558,482.092,453.89371,480.15084,407.43,693.72454,314.719
"","","Rhondda Cynon Taf - Special ",501.794,631.218,527.358,463.38884,269.692,146.09,453.51889,337.81269,320.95389
"","Merthyr Tydfil ","",1247.38032,1455.8946,357.95081,206,775.60726,956.25236,1846.2881,1761.86683,1549.49135
"","Merthyr Tydfil ","Merthyr Tydfil - Nursery ",93.02952,68.262,-18.50818,-8,68.77094,17.42632,36.80791,0,"."
"","","Merthyr Tydfil - Primary ",858.02375,811.31476,206.35143,260,757.45683,854.88969,1258.98768,1247.73831,1040.9275
"","","Merthyr Tydfil - Secondary ",207.33464,449.62024,52.42851,-65,-109.01769,70.72263,406.43886,434.09646,265.8333
"","","Merthyr Tydfil - Middle ",".",".",".",".",".",".",".",".","."
"","","Merthyr Tydfil - Special ",88.99241,126.6976,117.67905,19,58.39718,13.21372,144.05365,80.03206,242.73055
"","Caerphilly ","",4252,4731,2747,3057.38397,2884,2330,2040.1219,2520,1270
"","Caerphilly ","Caerphilly - Nursery ",".",".",".",".",".",".",".",".","."
"","","Caerphilly - Primary ",2255,2166,1232,1676.537,2300,1914,2244.1219,2447,2621
"","","Caerphilly - Secondary ",1648,2063,1066,808.43529,197,21,-688,-192,-1465
"","","Caerphilly - Middle ",".",".",".",".",".",".",208,76,-65
"","","Caerphilly - Special ",349,502,449,572.41168,387,395,276,189,179
"","Blaenau Gwent ","",1258,1487,1530,1652,1170,583,280.2,1054.514,1324.715
"","Blaenau Gwent ","Blaenau Gwent - Nursery ",".",".",".",".",".",".",".",".","."
"","","Blaenau Gwent - Primary ",1319,1221,1113,1118,942,534,857.4,1285.451,1532.12
"","","Blaenau Gwent - Secondary ",-303,-134,-104,248,73,-44,189.1,285.003,336
"","","Blaenau Gwent - Middle ",".",".",220,148,51,128,-847.4,-761.638,-829.421
"","","Blaenau Gwent - Special ",242,400,301,138,104,-35,81.1,245.698,286.016
"","Torfaen ","",2852,2658,2391,2215,2211,2140,2042,2897,1667.75223
"","Torfaen ","Torfaen - Nursery ",72,62,67,29,39,10,13,0,"."
"","","Torfaen - Primary ",1676,1608,1370,1320,1269,1302,1558,2097,1464.91417
"","","Torfaen - Secondary ",1099,957,940,816,808,739,382,686,55.83806
"","","Torfaen - Middle ",".",".",".",".",".",".",".",".","."
"","","Torfaen - Special ",5,31,14,50,95,89,89,114,147
"","Monmouthshire ","",965,1190,952.164,1109.984,1109.958,202.446,118.272,-252.056,-412.194
"","Monmouthshire ","Monmouthshire - Nursery ",".",".",".",".",".",".",".",".","."
"","","Monmouthshire - Primary ",1027,773,842.176,1290.441,1316.879,632.123,680.447,241.914,347.238
"","","Monmouthshire - Secondary ",-106,340,91.524,-154.503,-52.066,-287.26,-528.591,-635.475,-931.492
"","","Monmouthshire - Middle ",".",".",".",".",".",".",".",".","."
"","","Monmouthshire - Special ",44,77,18.464,-25.954,-154.855,-142.417,-33.584,141.505,172.06
"","Newport ","",3559.60859,4387.59192,3814.86114,4361.08176,5482.08368,4831.30657,3857.441351,3130.464431,1113.15737
"","Newport ","Newport - Nursery ",54.81358,66.98428,45.14834,32.71763,49.31533,17.00275,1.40532,2.870889,-36.456231
"","","Newport - Primary ",2282.79636,2670.3938,2403.3286,2639.37819,3339.59264,3153.01832,3000.418232,3667.584213,3331.794665
"","","Newport - Secondary ",1021.42778,1355.81215,1211.14441,1619.26924,1996.45647,1682.62253,748.086109,-629.46055,-2177.504481
"","","Newport - Middle ",".",".",".",".",".",".",".",".","."
"","","Newport - Special ",200.57087,294.40169,155.23979,69.7167,96.71924,-21.33703,107.53169,89.469879,-4.67658299999999
"","Cardiff ","",2977,2772.66086,334.463260000001,1287.072,2521.606,4242.866,7319.066,5658.254,5815.91724
"","Cardiff ","Cardiff - Nursery ",73,113.493,95.55326,42.642,201.126,250.499,253.592,222.122,145.05694
"","","Cardiff - Primary ",5100,3959.94486,2358,2962.36,4025.765,4985.446,6660.386,5299.744,4558.94943
"","","Cardiff - Secondary ",-2416,-1681.577,-2670.8,-2262.779,-2214.043,-1601.42,-495.675,-556.849,607.43447
"","","Cardiff - Middle ",".",".",".",".",".",".",".",".","."
"","","Cardiff - Special ",220,380.8,551.71,544.849,508.758,608.341,900.763,693.237,504.4764


