"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)"
"Isle of Anglesey (1)",".",".",".",".",".",".",".",".",".",695,665,740,720,690,405,295,"."
"Gwynedd (1)",".",".",".",".",".",".",".",".",".",1335,1345,1425,1285,1385,390,330,"."
"Conwy (1)",".",".",".",".",".",".",".",".",".",1140,1205,1250,1190,1200,720,535,"."
"Denbighshire (1)",".",".",".",".",".",".",".",".",".",1235,1275,1280,1240,1295,660,470,"."
"Flintshire (1)",".",".",".",".",".",".",".",".",".",1670,1720,1775,1760,1725,965,675,"."
"Wrexham (1)",".",".",".",".",".",".",".",".",".",1285,1250,1245,1255,1245,255,180,"."
"Powys (2)",".",".",".",".",".",".",".",".",".",1440,1475,1500,1470,1505,730,650,"."
"Ceredigion (2)",".",".",".",".",".",".",".",".",".",725,770,750,720,785,545,425,"."
"Pembrokeshire (2)",".",".",".",".",".",".",".",".",".",1315,1370,1410,1330,1280,720,565,"."
"Carmarthenshire (2)",".",".",".",".",".",".",".",".",".",1985,2020,2165,2155,2050,925,730,10
"Swansea (2)",".",".",".",".",".",".",".",".",".",2410,2530,2615,2525,2525,860,650,"."
"Neath Port Talbot (2)",".",".",".",".",".",".",".",".",".",1515,1650,1600,1700,1685,240,130,"."
"Bridgend (3)",".",".",".",".",".",".",".",".",".",1605,1645,1760,1490,1485,1005,685,"."
"Vale of Glamorgan (3)",".",".",".",".",".",".",".",".",".",1595,1590,1635,1605,1580,1005,810,"."
"Rhondda Cynon Taf (3)",".",".",".",".",".",".",".",".",".",2720,2770,3025,2835,2885,1940,1395,10
"Merthyr Tydfil (3)",".",".",".",".",".",".",".",".",".",610,605,675,685,660,365,260,"."
"Caerphilly (4)",".",".",".",".",".",".",".",".",".",2085,2150,2275,2175,2205,800,650,10
"Blaenau Gwent (4)",".",".",".",".",".",".",".",".",".",700,730,720,765,760,285,195,"."
"Torfaen (4)",".",".",".",".",".",".",".",".",".",1235,1280,1405,1305,1380,675,580,"*"
"Monmouthshire (4)",".",".",".",".",".",".",".",".",".",785,755,895,870,845,605,395,"."
"Newport (4)",".",".",".",".",".",".",".",".",".",1650,1765,1780,1650,1725,1205,755,5
"Cardiff (3)",".",".",".",".",".",".",".",".",".",3375,3555,3495,3570,3480,1865,1315,20
"Wales (5)",".",".",".",".",".",".",".",".",".",33110,34120,35430,34305,34375,17165,12675,55


