"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)"
"Isle of Anglesey (1)",".",620,750,755,725,670,665,715,650,".",".",".",".",".",".",".","."
"Gwynedd (1)",".",1220,1260,1245,1270,1310,1210,1140,1185,".",".",".",".",".",".",".","."
"Conwy (1)",".",1145,1100,1130,1130,1115,1070,1065,1055,".",".",".",".",".",".",".","."
"Denbighshire (1)",30,1060,1055,1125,1050,1030,1020,985,960,".",".",".",".",".",".",".","."
"Flintshire (1)",65,1635,1780,1795,1770,1680,1675,1710,1555,".",".",".",".",".",".",".","."
"Wrexham (1)",70,1605,1660,1725,1585,1600,1510,1450,1410,".",".",".",".",".",".","*","."
"Powys (2)",235,930,1255,1400,1295,1290,1335,1335,1280,".",".",".",".",".",".",".","."
"Ceredigion (2)",".",300,785,600,640,595,620,625,620,".",".",".","*",".",".",".","."
"Pembrokeshire (2)",350,1175,1295,1315,1305,1320,1295,1270,1240,".",".",".",".",".",".",".","."
"Carmarthenshire (2)",290,1590,1910,2065,1970,1940,1865,1840,1865,".",".",".",".",".",".",".","."
"Swansea (2)",910,2585,2580,2795,2600,2550,2465,2510,2510,".",".",".",".",".",".",".","."
"Neath Port Talbot (2)",535,1500,1535,1530,1475,1525,1575,1410,1355,".",".",".",".",".",".",".","."
"Bridgend (3)",270,1580,1580,1620,1610,1485,1580,1485,1470,".",".",".",".",".",".",".","."
"Vale of Glamorgan (3)",350,1265,1600,1635,1575,1470,1495,1410,1470,".",".",".",".",".",".",".","."
"Rhondda Cynon Taf (3)",685,2740,2785,2760,2675,2670,2680,2525,2645,".",".",".",".",".",".",".","."
"Merthyr Tydfil (3)",75,605,700,770,675,670,680,635,645,".",".",".",".",".",".",".","."
"Caerphilly (4)",540,2070,2140,2185,2070,2030,1980,2065,1985,".",".",".",".",".",".",".","."
"Blaenau Gwent (4)",240,740,725,760,680,730,665,695,630,".",".",".",".",".",".",".","."
"Torfaen (4)",".",905,1125,1080,1060,1085,1075,975,900,".",".",".",".",".",".",".","."
"Monmouthshire (4)",90,380,880,900,885,870,880,880,905,".",".",".",".",".",".",".","."
"Newport (4)",235,1230,1860,1960,1785,1680,1730,1675,1660,".",".",".",".",".",".",".","."
"Cardiff (3)",640,3590,4250,4275,4115,3855,3755,3495,3485,".",".",".",".",".",".",".","."
"Wales (5)",5610,30465,34595,35430,33940,33165,32825,31910,31475,".",".",".","*",".",".","*","."


