"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)"
"Isle of Anglesey (1)",".",".",".",".",".",".",".",".",".",660,660,610,680,640,390,320,"."
"Gwynedd (1)",".",".",".",".",".",".",".",".",".",1155,1260,1305,1315,1315,430,285,"."
"Conwy (1)",".",".",".",".",".",".",".",".",".",1045,1120,1155,1130,1155,780,570,"."
"Denbighshire (1)",".",".",".",".",".",".",".",".",".",1050,1120,1050,1205,1150,595,470,"."
"Flintshire (1)",".",".",".",".",".",".",".",".",".",1585,1615,1605,1650,1660,905,750,10
"Wrexham (1)",".",".",".",".",".",".",".",".",".",1110,1220,1260,1260,1220,175,150,"."
"Powys (2)",".",".",".",".",".",".",".",".",".",1245,1270,1300,1420,1420,725,610,"."
"Ceredigion (2)",".",".",".",".",".",".",".",".",".",535,565,585,625,650,445,350,"."
"Pembrokeshire (2)",".",".",".",".",".",".",".",".",".",1140,1165,1235,1295,1320,795,545,10
"Carmarthenshire (2)",".",".",".",".",".",".",".",".",".",1905,1960,1955,1990,2010,905,750,5
"Swansea (2)",".",".",".",".",".",".",".",".",".",2325,2395,2450,2400,2510,890,665,"."
"Neath Port Talbot (2)",".",".",".",".",".",".",".",".",".",1450,1465,1470,1525,1630,215,170,"."
"Bridgend (3)",".",".",".",".",".",".",".",".",".",1440,1595,1510,1595,1630,1120,725,"."
"Vale of Glamorgan (3)",".",".",".",".",".",".",".",".",".",1370,1390,1500,1570,1530,980,775,"."
"Rhondda Cynon Taf (3)",".",".",".",".",".",".",".",".",".",2410,2445,2530,2665,2665,1845,1230,"."
"Merthyr Tydfil (3)",".",".",".",".",".",".",".",".",".",565,570,600,610,605,".",195,"."
"Caerphilly (4)",".",".",".",".",".",".",".",".",".",1945,1975,2030,2075,2140,790,560,"*"
"Blaenau Gwent (4)",".",".",".",".",".",".",".",".",".",365,405,420,435,480,".",".","."
"Torfaen (4)",".",".",".",".",".",".",".",".",".",1080,1090,1095,1220,1245,665,480,"."
"Monmouthshire (4)",".",".",".",".",".",".",".",".",".",745,745,780,805,760,560,435,"."
"Newport (4)",".",".",".",".",".",".",".",".",".",1630,1600,1705,1650,1780,1195,815,"*"
"Cardiff (3)",".",".",".",".",".",".",".",".",".",3280,3340,3295,3360,3510,1740,1415,"."
"Wales (5)",".",".",".",".",".",".",".",".",".",30035,30975,31455,32480,33035,16150,12270,30


