"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5242018 - Leighton C.P. School ",77,75,60,62,76,70
"","","","5242019 - Ysgol Llanbrynmair ",63,56,55,56,60,61
"","","","5242020 - Llandinam C.P. School ",45,51,44,38,37,28
"","","","5242021 - Llanfair Caereinion C.P. ",209,195,180,175,169,166
"","","","5242023 - Llangurig C.P. School ",".",".",".",".",".","."
"","","","5242026 - Ysgol Efyrnwy ",".",".",".",".",".","."
"","","","5242031 - Machynlleth C.P. School ",".",".",".",".",".","."
"","","","5242033 - Ysgol Meifod ",78,74,82,73,78,82
"","","","5242040 - Penygloddfa C.P. School ",313,322,304,289,292,295
"","","","5242041 - Ysgol Pontrobert ",28,34,32,28,31,37
"","","","5242044 - Ysgol Dyffryn Trannon ",122,122,129,121,120,118
"","","","5242045 - Trefnanney C.P. School ",".",".",".",".",".","."
"","","","5242047 - Ardwyn Nursery & Infant School ",70,65,55,".",".","."
"","","","5242048 - Ladywell Green Nurs. & Inf. School ",144,125,100,95,97,93
"","","","5242049 - Guilsfield C.P. School ",142,141,134,133,128,127
"","","","5242050 - Llanidloes C.P. School ",306,290,290,277,284,286
"","","","5242051 - Buttington Trewern C.P. School ",181,178,160,155,144,152
"","","","5242053 - Brynhafren C.P. School ",52,59,54,42,47,43
"","","","5242054 - Churchstoke C.P. School ",54,53,40,38,28,27
"","","","5242055 - Ysgol Maesydre ",170,176,184,".",".","."
"","","","5242056 - Hafren C.P. Junior School ",141,157,157,159,167,146
"","","","5242057 - Llanfyllin C.P. School ",179,166,159,153,147,148
"","","","5242058 - Ysgol Glantwymyn ",74,72,72,70,63,70
"","","","5242059 - Ysgol Pennant ",67,68,66,70,70,70
"","","","5242060 - Maesyrhandir C.P. School ",170,174,173,160,138,121
"","","","5242061 - Oldford  Infant School ",64,64,50,".",".","."
"","","","5242062 - Treowen C.P. School ",130,135,137,139,130,115
"","","","5242066 - Franksbridge C.P. School ",34,32,31,38,35,39
"","","","5242068 - Llanbister C.P. School ",37,30,35,41,51,61
"","","","5242070 - Llandrindod Wells C.P. School ",248,269,235,212,210,206
"","","","5242071 - Llanfihangel Rhydithon C.P. ",29,31,29,35,31,33
"","","","5242074 - Rhosgoch C.P. School ",".",".",".",".",".","."
"","","","5242075 - Presteigne C.P. School ",174,175,160,161,150,148
"","","","5242076 - Radnor Valley C.P. School ",67,63,66,62,47,47
"","","","5242077 - Crossgates C.P. School ",156,150,164,144,154,144
"","","","5242079 - Mount Street C.P. Junior ",118,133,131,141,140,146
"","","","5242080 - Mount Street C.P. Infants ",149,161,137,126,127,114
"","","","5242083 - Libanus C.P. School ",".",".",".",".",".","."
"","","","5242084 - Ysgol Dolafon ",71,74,57,59,51,47
"","","","5242089 - Builth Wells C.P. School ",277,259,245,223,214,200
"","","","5242092 - Sennybridge C.P. School ",114,122,115,120,134,126
"","","","5242093 - Trecastle C.P. School ",".",".",".",".",".","."
"","","","5242096 - Ysgol Thomas Stephens ",".",".",".",".",".","."
"","","","5242097 - Ysgol Gymraeg Cwmtwrch ",".",".",".",".",".","."
"","","","5242099 - Ysgol Cynlais ",".",".",".",".",".","."
"","","","5242101 - Gurnos C.P. School ",".",".",".",".",".","."
"","","","5242102 - Penrhos C.P. School ",".",".",".",".",".","."
"","","","5242104 - Ysgol Gymraeg Ynyscedwyn ",".",".",".",".",".","."
"","","","5242105 - Glanrhyd C.P. School ",".",".",".",".",".","."
"","","","5242106 - Abercrave C.P. School ",".",".",".",".",".","."
"","","","5242107 - Caehopkin C.P. School ",".",".",".",".",".","."
"","","","5242108 - Coelbren C.P. School ",".",".",".",".",".","."
"","","","5242113 - Crickhowell C.P. School ",233,234,215,203,204,189
"","","","5242114 - Llanigon C.P. School ",0,".",".",".",".","."
"","","","5242115 - Cradoc C.P. School ",129,123,120,116,107,100
"","","","5242116 - Hay-On-Wye C.P. School ",156,165,165,155,152,165
"","","","5242117 - Llangynidr C.P. School ",126,138,132,136,130,116
"","","","5242119 - Talgarth C.P. School ",74,74,59,".",".","."
"","","","5242121 - Penycae C.P. School ",".",".",".",".",".","."
"","","","5242122 - Irfon Valley C.P. School ",57,53,48,45,43,36
"","","","5242123 - Bronllys C.P. School ",44,35,32,".",".","."
"","","","5242125 - Llanfaes C.P. School ",222,217,209,198,201,197
"","","","5242127 - Ysgol Y Bannau ",145,145,136,116,119,118
"","","","5242129 - Ysgol Rhiw Bechan ",148,151,153,142,151,143
"","","","5242146 - Llanrhaeadr Ym Mochnant C.P. School ",90,76,79,75,71,74
"","","","5242147 - Ysgol Bro Cynllaith ",38,37,31,29,31,27
"","","","5242148 - Ysgol Dafydd Llwyd ",178,176,168,170,154,153
"","","","5242149 - Ysgol y Cribarth ",138,145,136,127,110,102
"","","","5242150 - Ysgol Golwg y Cwm ",168,186,174,164,172,182
"","","","5242151 - Ysgol Bro Tawe ",215,208,195,179,182,181
"","","","5242152 - Ysgol Gymraeg Dyffryn y Glowyr ",263,288,290,290,322,329
"","","","5242153 - Ysgol y Mynydd Du ",".",".",".",92,106,102
"","","","5242154 - Ysgol Gymraeg y Trallwng ",".",".",0,76,74,77
"","","","5243000 - Llanfechain C.I.W. School ",35,40,46,39,37,44
"","","","5243002 - Montgomery C.I.W. School ",128,125,111,107,103,98
"","","","5243005 - Gungrog C.I.W. Infant School ",72,80,80,".",".","."
"","","","5243016 - Forden C.I.W. School ",90,86,80,74,74,72
"","","","5243021 - Llandysilio C.I.W. School ",100,87,81,83,80,72
"","","","5243022 - Castle Caereinion C.I.W. ",52,44,39,31,32,25
"","","","5243023 - Beguildy C.I.W. School ",".",".",".",".",".","."
"","","","5243026 - Gladestry C.I.W. School ",46,45,45,42,43,42
"","","","5243028 - Howey C.I.W. School ",".",".",".",".",".","."
"","","","5243030 - Llandrindod Wells C.I.W. School ",210,192,186,197,200,207
"","","","5243031 - Newbridge-On-Wye V.P. ",106,111,114,113,107,107
"","","","5243032 - Nantmel C.I.W. School ",33,30,".",".",".","."
"","","","5243033 - Clyro C.I.W. School ",114,93,89,83,92,88
"","","","5243034 - Ffynnon Gynydd Church in Wales School ",".",".",".",".",".","."
"","","","5243035 - Knighton C.I.W. School ",212,214,199,197,192,184
"","","","5243036 - Rhayader C.I.W. School ",168,166,180,171,186,199
"","","","5243037 - Llanelwedd C.I.W. School ",83,84,89,94,87,90
"","","","5243042 - Cwmdu C.I.W. School ",".",".",".",".",".","."
"","","","5243046 - Llangedwyn Primary School ",29,30,24,26,32,16
"","","","5243048 - Llangattock C.I.W. School ",".",".",".",".",".","."
"","","","5243050 - Llangors  V.P. School ",145,146,145,132,128,137
"","","","5243051 - Welshpool C.I.W. Primary School ",".",".",0,288,271,250
"","","","5243300 - Llanfihangel  Yng Ngwynfa School ",".",".",".",".",".","."
"","","","5243301 - St. Michael's C.I.W. School ",141,135,127,119,109,105
"","","","5243303 - Llansantffraid C.I.W.A. School ",114,122,102,100,111,113
"","","","5243306 - Sarn C.E. Aided School ",".",".",".",".",".","."
"","","","5243308 - Whitton (Aided) School ",18,".",".",".",".","."
"","","","5243314 - Glasbury C.I.W.(A) School ",".",".",".",".",".","."
"","","","5243316 - Llanbedr C.I.W. (Aided) School ",38,38,34,33,41,39
"","","","5243317 - Archdeacon Griffiths C.I.W. Primary School ",114,110,117,110,121,121
"","","","5243318 - Priory C.I.W. School ",145,146,139,137,159,148
"","","","5243319 - St Joseph's R.C. (A) School ",".",".",".",".",".","."
"","","","5243320 - St Mary`s R.C. (A) School ",127,113,105,95,87,73
"","","","5243321 - Cwmdu Voluntary Aided School ",".",".",".",".",".","."
"","","","5243322 - Llangattock C.I.W. School ",113,119,103,96,105,109
"","","","5245200 - Llanerfyl C.I.W. Foundation School ",41,37,34,28,26,3.75
"","","","5245201 - Banw/Llanerfyl New School ",".",".",".",".",".",19.833333
"","","","5249991 - Unallocated resources - primary ",".",".",".",".",".","."
"","","Powys - Middle ","",542,496,478,470,387,1254
"","","Powys - Middle ","5245500 - Ysgol Bro Hyddgen ",542,496,478,470,387,467
"","","","5245501 - Ysgol Llanfyllin ",".",".",".",".",".",787
"","","","5249996 - Unallocated resources - middle ",".",".",".",".",".","."
"","","Powys - Secondary ","",7408,7235,7160,7036,7006,7079
"","","Powys - Secondary ","5244000 - Caereinion High School ",527,496,498,494,446,439
"","","","5244001 - Llanfyllin High School ",840,826,825,778,669,667
"","","","5244002 - Llanidloes High School ",566,537,516,534,589,592
"","","","5244003 - Ysgol Bro Ddyfi ",".",".",".",".",".","."
"","","","5244011 - Newtown High School ",1143,1115,1084,1057,1024,1079
"","","","5244013 - Welshpool High School ",930,908,887,870,873,881
"","","","5244014 - John Beddoes School ",".",".",".",".",".","."
"","","","5244019 - Llandrindod High School ",563,553,561,211,".","."
"","","","5244020 - Builth Wells High School ",514,554,544,218,".","."
"","","","5244021 - Ysgol Maes-Y-Dderwen ",463,440,469,496,502,503
"","","","5244022 - Brecon High School ",664,597,514,491,444,470
"","","","5244023 - Gwernyfed High School ",454,446,437,441,466,496
"","","","5244024 - Crickhowell High School ",744,763,825,845,991,915
"","","","5244025 - Ysgol Calon Cymru ",".",".",".",601,1002,1037
"","","","5249992 - Unallocated resources - secondary ",".",".",".",".",".","."
"","","Powys - Special ","",296,292,291,267,279,282
"","","Powys - Special ","5247001 - Brynllywarch Hall School ",71,65,63,55,54,51
"","","","5247002 - Ysgol Cedewain ",118,118,122,109,120,120
"","","","5247004 - Ysgol Penmaes ",107,109,106,103,105,111
"","","","5249993 - Unallocated resources - special ",".",".",".",".",".","."
"","Ceredigion ","","",9413,9384,9304.5,9404.5,9433,9447
"","Ceredigion ","Ceredigion - Nursery ","5269994 - Unallocated resources - nursery ",".",".",".",".",".","."
"","","Ceredigion - Primary ","",4474,4508,4231.5,4301,4247.5,4263
"","","Ceredigion - Primary ","5262281 - Ysgol Gynradd Aberaeron ",188,191.5,206.5,209.5,209,215.5
"","","","5262283 - Ysgol Gynradd Caerwedros ",".",".",".",".",".","."
"","","","5262284 - Cilcennin C.P. School ",29,23,22,17,13,"."
"","","","5262285 - Ciliau Parc C.P. School ",57,58,65,79,72,74
"","","","5262286 - Ysgol Gynradd Cribyn ",".",".",".",".",".","."
"","","","5262287 - Cross Inn C.P. School ",".",".",".",".",".","."
"","","","5262288 - Ysgol Gynradd Dihewyd ",35,31,34,28,32,32
"","","","5262289 - Ysgol Gynradd Felinfach ",56,47,47,46,40,45
"","","","5262290 - Gwenlli C.P. School ",".",".",".",".",".","."
"","","","5262291 - Ysgol Gynradd Llanarth ",69,55,57,55,60,61
"","","","5262292 - Ysgol Llanllwchaearn ",".",".",".",".",".","."
"","","","5262293 - Ysgol Gynradd Llannon ",42,45,43,41,31,32
"","","","5262294 - Ysgol Gynradd Mydroilyn ",".",".",".",".",".","."
"","","","5262295 - Ysgol Gynradd Cei Newydd ",100,94,90,96,80,78
"","","","5262296 - Ysgol Penlon ",".",".",".",".",".","."
"","","","5262297 - Pennant C.P. School ",".",".",".",".",".","."
"","","","5262298 - Y.G. Talgarreg ",50,55,55,55,52,47
"","","","5262299 - Ysgol Gymraeg Aberystwyth ",381,385.5,382,399,399.5,395
"","","","5262300 - Ysgol  Gynradd Brynherbert ",".",".",".",".",".","."
"","","","5262301 - Capel Seion Primary School ",".",".",".",".",".","."
"","","","5262303 - Comins Coch C.P. School ",179,176,184,185,171,179
"","","","5262304 - Cwmpadarn C.P. School ",60,33,".",".",".","."
"","","","5262306 - Ysgol Gynradd Llanafan ",".",".",".",".",".","."
"","","","5262307 - Y.G. Llangynfelyn ",27,19,".",".",".","."
"","","","5262308 - Ysgol Llanfarian ",52,51,51,52,52,50
"","","","5262309 - Ysgol  Gynradd Llanfihangel-Y-Creuddyn ",30,27,30,38,32,30
"","","","5262310 - Ysgol Gynradd Llangwyryfon ",48,48,46,50,49,46
"","","","5262311 - Ysgol Gynradd Llanilar ",116,119,114,118,123,119
"","","","5262312 - Mynach C.P. School ",32,31,31,30,30,38
"","","","5262313 - Ysgol Gynradd Penllwyn ",45,52,48,48,44,43
"","","","5262314 - Ysgol Llwyn-Yr-Eos ",182,233.5,215.5,255,241,266
"","","","5262315 - Ysgol Syr John Rhys ",20,22,27,27,24,25
"","","","5262316 - Y.G. Rhydypennau ",160.5,159.5,165.5,177,171.5,180.5
"","","","5262317 - Ysgol Gynradd Talybont ",70,62,81,81,85,77
"","","","5262318 - Ysgol Gynradd Trefeurig ",".",".",".",".",".","."
"","","","5262319 - Ysgol Gynradd Aberporth ",103,115,114,122,139,150
"","","","5262320 - Ysgol Gynradd Beulah ",31,29,19,18,18,"."
"","","","5262321 - Ysgol Iau Aberteifi ",".",".",".",".",".","."
"","","","5262322 - Ysgol  Babanod  Aberteifi ",".",".",".",".",".","."
"","","","5262323 - Ysgol Gynradd Llechryd ",40,43,51,54,54,54
"","","","5262324 - Penparc C.P. School ",113,115,107,104,104,104
"","","","5262325 - Ysgol Y Ferwig ",".",".",".",".",".","."
"","","","5262328 - Ysgol Gynradd Cwrtnewydd ",35,22,20,".",".","."
"","","","5262329 - Ffynnon Bedr C.P. School ",".",".",".",".",".","."
"","","","5262332 - Llanwnnen C.P. School ",35,37,35,".",".","."
"","","","5262335 - Y.G. Capel Cynon ",".",".",".",".",".","."
"","","","5262336 - Y.G. Capel Dewi ",".",".",".",".",".","."
"","","","5262337 - Coedybryn C.P. ",28,16,".",".",".","."
"","","","5262338 - Y.G. Glynarthen ",".",".",".",".",".","."
"","","","5262339 - Ysgol Gynradd Llandysul ",186,188,".",".",".","."
"","","","5262340 - Ysgol Gynradd Penmorfa ",".",".",".",".",".","."
"","","","5262341 - Y.G. Pontgarreg ",".",".",".",".",".","."
"","","","5262342 - Ysgol Gynradd Pontsian ",27,27,".",".",".","."
"","","","5262343 - Rhydlewis C.P. School ",".",".",".",".",".","."
"","","","5262344 - Ysgol Gynradd Tregroes ",".",".",".",".",".","."
"","","","5262345 - Ysgol Gynradd Trewen ",52,48,40,18,18,"."
"","","","5262346 - Ysgol Gynradd Bronnant ",".",".",".",".",".","."
"","","","5262349 - Y.G. Llanddewi Brefi ",".",".",".",".",".","."
"","","","5262350 - Ysgol Gynradd Llangeitho ",".",".",".",".",".","."
"","","","5262351 - Ysgol  Gynradd Lledrod ",".",".",".",".",".","."
"","","","5262352 - Ysgol Gynradd Penuwch ",".",".",".",".",".","."
"","","","5262353 - Y.G. Pontrhydfendigaid ",65,70,75,73,59,68
"","","","5262354 - Y.G. Swyddffynnon ",".",".",".",".",".","."
"","","","5262356 - Ysgol Gynradd Tregaron ",".",".",".",".",".","."
"","","","5262357 - Ysgol Ysbyty Ystwyth ",".",".",".",".",".","."
"","","","5262360 - Y.G. Blaenporth ",".",".",".",".",".","."
"","","","5262361 - Plascrug C.P.  School ",403.5,411,427,405.5,421.5,426.5
"","","","5262362 - Ysgol Craig Yr Wylfa ",38,40,59,58,46,42
"","","","5262363 - Ysgol Penrhyn Coch ",85,91,92,84,85,92
"","","","5262364 - Aberbanc C.P. School ",30,25,".",".",".","."
"","","","5262366 - Ysgol Y Dderi ",119,130,126.5,117.5,118,115.5
"","","","5262367 - Ysgol Gynradd Cenarth ",73,71.5,61,49.5,50.5,63
"","","","5262368 - Cardigan Community Primary School ",375.5,392.5,400,422.5,427.5,427
"","","","5262369 - Ysgol Gymunedol Bro Sion Cwilt ",120.5,120,114,115.5,109.5,103.5
"","","","5262370 - Ysgol Rhos Y Wlad ",".",".",".",".",".","."
"","","","5262371 - Ysgol Gynradd Gymunedol T Llew Jones ",161,170,169.5,171.5,183.5,184.5
"","","","5262372 - Rhos Helyg Community Primary School ",70,64,71,71,70,66
"","","","5262373 - Ysgol Dyffryn Cledlyn ",".",".",0,109.5,115,"."
"","","","5263058 - Ysgol Gynradd Wirfoddol Mefenydd ",92,95,85,82,76,75
"","","","5263060 - Trefilan V.C.P. School ",".",".",".",".",".","."
"","","","5263061 - Ysgol Dyffryn Cledlyn VC (Church in Wales) ",".",".",".",".",".",114
"","","","5263317 - Ysgol Gynradd Gymorthedig Llanwenog ",35,37,37,".",".","."
"","","","5263318 - St Padarns R.C.P. School ",128,133,134,139,142,145
"","","","5269998 - Ysgol Bro Pedr ",".",".",".",".",".","."
"","","","5265999 - Ysgol Bro Pedr ",".",".",".",".",".","."
"","","","5269991 - Unallocated resources - primary ",".",".",".",".",".","."
"","","Ceredigion - Middle ","",1408,1378,2081,2151.5,2204.5,2274
"","","Ceredigion - Middle ","5265500 - Ysgol Bro Pedr ",1087,1087,1027.5,1027,995.5,1032
"","","","5265501 - Ysgol Henry Richard School ",321,291,300,296,316,318
"","","","5269996 - Unallocated resources - middle ",".",".",".",".",".","."
"","","","5265502 - Ysgol Bro Teifi ",".",".",753.5,828.5,893,924
"","","Ceredigion - Secondary ","",3531,3498,2992,2952,2981,2910
"","","Ceredigion - Secondary ","5264041 - Ysgol Gyfun Llanbedr-Pont-Steffan ",".",".",".",".",".","."
"","","","5264042 - Ysgol Gyfun Aberaeron ",623,573,567,556,575,599
"","","","5264044 - Cardigan County Secondary ",534,587,603,617,635,616
"","","","5264046 - Ysgol Uwchradd Tregaron ",".",".",".",".",".","."
"","","","5264047 - Penglais Comprehensive School ",1299,1283,1231,1189,1160,1087
"","","","5264048 - Ysgol Gyfun Penweddig ",605,601,591,590,611,608
"","","","5264059 - Ysgol Gyfun Dyffryn Teifi ",470,454,".",".",".","."
"","","","5269999 - Ysgol Bro Pedr ",".",".",".",".",".","."
"","","","5269992 - Unallocated resources - secondary ",".",".",".",".",".","."
"","","Ceredigion - Special ","5269993 - Unallocated resources - special ",".",".",".",".",".","."
"","Pembrokeshire ","","",17442,17190,17015,16895.5,16817,16847.5
"","Pembrokeshire ","Pembrokeshire - Nursery ","5289994 - Unallocated resources - nursery ",".",".",".",".",".","."
"","","Pembrokeshire - Primary ","",10108,10192,10184,9915.166667,9702,9545
"","","Pembrokeshire - Primary ","5282203 - Sageston C.P. School ",105,121,124,122,114,108
"","","","5282208 - Ysgol Dinas ",".",".",".",".",".","."
"","","","5282209 - Ysgol Gynradd Eglwyswrw ",122,116,112,110,109,109
"","","","5282210 - Ysgol Iau Abergwaum ",".",".",".",".",".","."
"","","","5282212 - Ysgol Gynradd Sirol Wdig ",134,121,126,142,130,123.5
"","","","5282214 - Fenton C.P ",396,412.5,406,402,408,402.5
"","","","5282215 - Prendergast CP Junior School ",".",".",".",".",".","."
"","","","5282216 - Prendergast Infants & Nursery CP School ",".",".",".",".",".","."
"","","","5282217 - Y.G. Sirol Hayscastle ",".",".",".",".",".","."
"","","","5282219 - Orielton C.P. School ",46,37,15,".",".","."
"","","","5282220 - Johnston C.P. School ",188,196.5,222,229,254,238
"","","","5282222 - Lamphey C.P. School ",184,195.5,212,219,220,204.5
"","","","5282223 - Ysgol Gynradd Brynconin ",80,83,76,76,78,76.5
"","","","5282224 - Y.G. Sirol Blaenffos ",".",".",".",".",".","."
"","","","5282225 - Y.G. Sirol Crymych ",".",".",".",".",".","."
"","","","5282226 - Ysgol Gynradd Glandwr ",".",".",".",".",".","."
"","","","5282227 - Ysgol Gynradd Hermon ",".",".",".",".",".","."
"","","","5282228 - Hook C.P. School ",99,101,93,93,87,81
"","","","5282231 - Ysgol Llanychllwydog ",26,26.5,24,24,21,21.5
"","","","5282233 - Y.G. Maenclochog ",86,90,98.5,94,96,93
"","","","5282235 - Hakin C.P. Junior Mixed School ",".",".",".",".",".","."
"","","","5282236 - Hakin C.P. Infant and Nursery School ",".",".",".",".",".","."
"","","","5282237 - Milford Haven Junior School ",348,361,358,155,".","."
"","","","5282241 - Ysgol Gynradd Trewyddel ",".",".",".",".",".","."
"","","","5282242 - Narberth C.P. School ",321,322.5,294.5,300,301,289.5
"","","","5282243 - Ysgol Bro Ingli ",114,108.5,105,103,105,100
"","","","5282244 - Neyland Junior C.P. School ",".",".",".",".",".","."
"","","","5282246 - Albion Square C.P. Infant School ",".",".",".",".",".","."
"","","","5282248 - Pennar CP Junior School ",".",".",".",".",".","."
"","","","5282250 - Puncheston CP School ",73,70,62,54,63,63
"","","","5282253 - Ysgol Gynradd Llandudoch ",120,120,111,109,104,105.5
"","","","5282254 - Wolfcastle C.P. School ",36,39,42.5,40,43,47
"","","","5282257 - Pentlepoir C.P. School ",".",".",".",".",".","."
"","","","5282258 - Saundersfoot C.P. School ",295,293.5,290,297,266,223.5
"","","","5282260 - Stepaside C.P. School ",151,138.5,140,141,129,134
"","","","5282261 - Templeton C.P. School ",69,86,104,114,116,115
"","","","5282262 - Tenby Junior Community School ",216,196,".",".",".","."
"","","","5282263 - Solva C.P. School ",76,74,71.5,22.916667,".","."
"","","","5282264 - Pennar C.P. Infant School ",".",".",".",".",".","."
"","","","5282265 - The Meads C.P. Infant & Nursery School ",386,398,395.5,155,".","."
"","","","5282266 - Tavernspite C.P. School ",207,219.5,212.5,214,220,219.5
"","","","5282267 - Mount Airey C.P. ",159,152,152,148,".","."
"","","","5282269 - Golden Manor C.P. Infant ",".",".",".",".",".","."
"","","","5282270 - Croesgoch  C.P. School ",109,116,105.5,88,94,81.5
"","","","5282271 - Broad Haven C.P. School ",113,113,120.5,114,112,101.5
"","","","5282272 - Grove Junior C.P. School ",".",".",".",".",".","."
"","","","5282273 - Roch C.P. School ",154,151,162.5,155,154,152.5
"","","","5282276 - The Mount C.P. Infant & Nursery ",".",".",".",".",".","."
"","","","5282277 - Neyland C.P. Infant & Nursery ",".",".",".",".",".","."
"","","","5282279 - Ysgol Y Babanod A Meithinfa Abergwaun ",".",".",".",".",".","."
"","","","5282383 - Ysgol Glan Cleddau ",236,255,272.5,117.5,".","."
"","","","5282384 - Coastlands County Primary ",82,80.5,89,95,91,92
"","","","5282385 - Ysgol Clydau ",53,63,58,48,55,55
"","","","5282386 - Pembroke Dock CP School ",600,577,590,587,632,647.5
"","","","5282387 - Monkton Priory CP School ",189,202.5,208.5,206,209,223
"","","","5282388 - Ysgol Gelli Aur Golden Grove ",338,345,331,358,360,338
"","","","5282389 - Ysgol Glannau Gwaun ",245,258,251.5,266,264,260.5
"","","","5282390 - Ysgol y Frenni ",203,201.5,177,177,173,168.5
"","","","5282391 - Prendergast Community School ",480,482.5,485.5,480,460,442
"","","","5282392 - Pennar Community School ",245,249,259,253,242,252
"","","","5282393 - Neyland Primary School ",300,303.5,315,311,287,296
"","","","5282394 - Hakin Community Primary School ",315,326,262,".",".","."
"","","","5282395 - Ysgol Hafan y Mor ",".",".",112.5,131,146,178
"","","","5282396 - Milford Haven Community Primary School ",".",".",".",434,715,693
"","","","5282397 - Waldo Williams Primary School ",".",".",".",".",259,268
"","","","5283033 - Angle V.C. School ",24,23,8,".",".","."
"","","","5283034 - Burton V.C.P. School ",".",".",".",".",".","."
"","","","5283035 - Cilgerran V.C.P. School ",121,125,113.5,114,115,120
"","","","5283036 - Cosheston V.C.P. School ",61,53,56,56,56,60.5
"","","","5283040 - Llangwm VCP School ",213,226,224,213,216,223.5
"","","","5283042 - Manorbier V.C.P. School ",59,56.5,55.5,58,58,52
"","","","5283044 - Tredafydd V.C.P. School ",".",".",".",".",".","."
"","","","5283046 - Mathry V.C.P. School ",".",".",".",".",".","."
"","","","5283047 - Penally V.C.P. School ",".",".",".",".",".","."
"","","","5283050 - Spittal V.C.P. School ",147,150.5,157.5,151,141,107.5
"","","","5283051 - Stackpole V.C.P. School ",50,46,20,".",".","."
"","","","5283052 - Tenby Infants V.C. School ",187,189.5,".",".",".","."
"","","","5283053 - Haverfordwest Junior V.C. School ",109,82,89,97,".","."
"","","","5283054 - Letterston V.C. School ",".",".",".",".",".","."
"","","","5283055 - St Florence V.C. School ",83,77,60,56,62,62.5
"","","","5283057 - Hubberston V.C. School ",139,146,113,".",".","."
"","","","5283058 - Ysgol Ger y Llan V.C. School ",136,146,134,134,132,124.5
"","","","5283059 - Tenby Church in Wales VC Primary School ",".",".",273.5,288,292,298.5
"","","","5283060 - Penrhyn Church in Wales Voluntary Controlled School ",".",".",59,104,104,108
"","","","5283061 - Gelliswick Church in Wales Voluntary Controlled Primary School ",".",".",125,487,517,524
"","","","5283310 - Ysgol Bro Dewi V.A. ",97,101.5,102,48.75,".","."
"","","","5283311 - Holy Name V.R.C. School ",140,121,117,116,115,124
"","","","5283312 - St Mary's V.R.C. School ",108,108,75,52,21,"."
"","","","5283313 - Mary Immaculate V.R.C. School ",208,217.5,215,225,226,211.5
"","","","5283314 - St Francis V.R.C. School ",112,107,110,109,112,124
"","","","5283315 - St Aidans V.A.P. School ",93,83,79,69,67,63.5
"","","","5283319 - St Teilos V.R.C. School ",87,86,86,87,80,82
"","","","5283320 - St Marks V.A.P. School ",117,132.5,132.5,132,129,129
"","","","5283321 - St Oswalds VA School ",118,113,132.5,134,142,126.5
"","","","5289991 - Unallocated resources - primary ",".",".",".",".",".","."
"","","Pembrokeshire - Middle ","",0,0,0,494,858,1079
"","","Pembrokeshire - Middle ","5289996 - Unallocated resources - middle ",".",".",".",".",".","."
"","","","5285500 - Ysgol Caer Elen ",".",".",".",206,362,518
"","","","5285900 - Ysgol yr Eglwys yng Nghymru Penrhyn Dewi ",".",".",".",288,496,561
"","","Pembrokeshire - Secondary ","",7186,6850,6677,6331.333333,6103,6068
"","","Pembrokeshire - Secondary ","5284031 - Ysgol Bro Gwaun ",559,550,511,478,486,533
"","","","5284034 - Ysgol Dewi Sant ",423,396,406,163.583333,".","."
"","","","5284035 - The Greenhill School ",1077,984,928,911,848,842
"","","","5284038 - Pembroke School/ Ysgol Penfro ",1270,1245,1207,1166,1211,1255
"","","","5284055 - Sir Thomas Picton School ",1220,1227,1229,514.166667,".","."
"","","","5284063 - Milford Haven School ",903,869,884,900,965,1014
"","","","5284064 - Ysgol Gyfun Ddwyieithog Y Preseli ",965,908,913,891,808,783
"","","","5284511 - Tasker-Milward V.C. School ",769,671,599,244.583333,".","."
"","","","5284512 - Haverfordwest High VC School ",".",".",".",1063,1785,1641
"","","","5289992 - Unallocated resources - secondary ",".",".",".",".",".","."
"","","Pembrokeshire - Special ","",148,148,154,155,154,155.5
"","","Pembrokeshire - Special ","5287001 - Portfield Special School ",148,148,154,155,154,155.5
"","","","5289993 - Unallocated resources - special ",".",".",".",".",".","."
"","Carmarthenshire ","","",26913.5,26934,26905,27028.5,27181.5,27147
"","Carmarthenshire ","Carmarthenshire - Nursery ","",74,80,78,95,99,105
"","","Carmarthenshire - Nursery ","5301000 - Ysgol Feithrin Rhydaman ",74,80,78,95,99,105
"","","","5309994 - Unallocated resources - nursery ",".",".",".",".",".","."
"","","Carmarthenshire - Primary ","",15342.5,15615,15596,15629.5,15614.5,15476
"","","Carmarthenshire - Primary ","5302000 - Cefneithin C.P. ",73,76,77,80,89,102
"","","","5302001 - Ysgol Gynradd Drefach ",50,47,43,46,54,45
"","","","5302002 - Maesybont C.P. School ",28,29,23,18,0,"."
"","","","5302003 - Llechyfedach C.P. School ",112,112,117,108,103,106
"","","","5302004 - Ysgol Gynradd Mynyddcerrig ",".",".",".",".",".","."
"","","","5302005 - Cwmgwili C.P. School ",".",".",".",".",".","."
"","","","5302006 - Ysgol Gynradd Y Tymbl ",135,123,136,130,126,134
"","","","5302007 - Ysgol Gynradd Gorslas ",112,111,122,125,144,147
"","","","5302008 - Cross Hands C.P. School ",129.5,130.5,137.5,142,126,131
"","","","5302009 - Llangain C.P. School ",26,24,29,29.5,32.5,40
"","","","5302014 - Ysgol Gynradd Peniel ",117,119,113,109,109,116
"","","","5302018 - Ysgol Gynradd Bancffosfelen ",35,35,42,44,49,43
"","","","5302019 - Gwynfryn CP School ",64,70,67,64,62,61
"","","","5302020 - Carway C.P. School ",46,52,40,48,55,58
"","","","5302023 - Pontiets C.P. School ",49,53,52,44,41,38
