"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)"
"Isle of Anglesey (1)",".",".",".",".",".",".",".",".",".",635,660,615,660,620,300,255,"."
"Gwynedd (1)",".",".",".",".",".",".",".",".",".",1225,1180,1195,1160,1150,395,385,"."
"Conwy (1)",".",".",".",".",".",".",".",".",".",1105,1075,1055,1060,1085,675,545,"."
"Denbighshire (1)",".",".",".",".",".",".",".",".",".",1115,1100,1060,1040,1045,440,425,"."
"Flintshire (1)",".",".",".",".",".",".",".",".",".",1650,1675,1530,1620,1570,680,615,"."
"Wrexham (1)",".",".",".",".",".",".",".",".",".",1250,1175,1125,1125,1165,155,165,"."
"Powys (2)",".",".",".",".",".",".",".",".",".",1230,1245,1210,1175,1195,570,510,"."
"Ceredigion (2)",".",".",".",".",".",".",".",".",".",505,505,470,445,450,330,285,"."
"Pembrokeshire (2)",".",".",".",".",".",".",".",".",".",1170,1160,1120,1100,1115,550,440,"."
"Carmarthenshire (2)",".",".",".",".",".",".",".",".",".",1945,1895,1930,1925,1870,810,665,"."
"Swansea (2)",".",".",".",".",".",".",".",".",".",2410,2435,2415,2315,2355,775,655,"."
"Neath Port Talbot (2)",".",".",".",".",".",".",".",".",".",1355,1275,1190,1230,1205,230,155,"."
"Bridgend (3)",".",".",".",".",".",".",".",".",".",1610,1505,1480,1445,1565,895,710,5
"Vale of Glamorgan (3)",".",".",".",".",".",".",".",".",".",1400,1315,1330,1270,1235,830,700,"."
"Rhondda Cynon Taf (3)",".",".",".",".",".",".",".",".",".",2710,2530,2645,2390,2405,1355,1125,"."
"Merthyr Tydfil (3)",".",".",".",".",".",".",".",".",".",600,570,565,565,530,".",".","."
"Caerphilly (4)",".",".",".",".",".",".",".",".",".",1995,2060,1995,1905,1945,585,430,"*"
"Blaenau Gwent (4)",".",".",".",".",".",".",".",".",".",255,295,250,250,275,".",".","."
"Torfaen (4)",".",".",".",".",".",".",".",".",".",1120,1080,1020,1075,1060,455,395,"."
"Monmouthshire (4)",".",".",".",".",".",".",".",".",".",785,820,825,755,730,495,380,"."
"Newport (4)",".",".",".",".",".",".",".",".",".",1770,1640,1635,1645,1585,960,705,"."
"Cardiff (3)",".",".",".",".",".",".",".",".",".",3560,3370,3365,3235,3185,1750,1320,"."
"Wales (5)",".",".",".",".",".",".",".",".",".",31405,30550,30030,29390,29340,13235,10860,5


