"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)"
"Isle of Anglesey (1)",".",".",".",".",".",".",".",".",".",650,620,685,655,715,365,290,"."
"Gwynedd (1)",".",".",".",".",".",".",".",".",".",1280,1320,1325,1325,1400,340,355,"."
"Conwy (1)",".",".",".",".",".",".",".",".",".",1120,1150,1150,1205,1225,760,590,"."
"Denbighshire (1)",".",".",".",".",".",".",".",".",".",1120,1055,1210,1230,1135,580,465,"."
"Flintshire (1)",".",".",".",".",".",".",".",".",".",1605,1610,1655,1730,1735,900,750,10
"Wrexham (1)",".",".",".",".",".",".",".",".",".",1220,1260,1265,1230,1215,230,150,"."
"Powys (2)",".",".",".",".",".",".",".",".",".",1250,1300,1430,1470,1460,740,650,"."
"Ceredigion (2)",".",".",".",".",".",".",".",".",".",570,585,630,660,610,400,360,"."
"Pembrokeshire (2)",".",".",".",".",".",".",".",".",".",1165,1235,1305,1330,1380,750,540,"*"
"Carmarthenshire (2)",".",".",".",".",".",".",".",".",".",1970,1960,1990,2035,2170,905,725,15
"Swansea (2)",".",".",".",".",".",".",".",".",".",2385,2470,2380,2520,2630,880,620,"."
"Neath Port Talbot (2)",".",".",".",".",".",".",".",".",".",1470,1480,1525,1645,1585,195,190,"."
"Bridgend (3)",".",".",".",".",".",".",".",".",".",1565,1480,1600,1625,1755,910,675,"."
"Vale of Glamorgan (3)",".",".",".",".",".",".",".",".",".",1405,1515,1575,1570,1590,1000,790,"."
"Rhondda Cynon Taf (3)",".",".",".",".",".",".",".",".",".",2440,2530,2660,2685,2910,1700,1230,5
"Merthyr Tydfil (3)",".",".",".",".",".",".",".",".",".",560,605,610,605,685,290,240,10
"Caerphilly (4)",".",".",".",".",".",".",".",".",".",1970,2025,2065,2160,2275,705,590,"*"
"Blaenau Gwent (4)",".",".",".",".",".",".",".",".",".",410,425,445,495,475,".",95,"."
"Torfaen (4)",".",".",".",".",".",".",".",".",".",1100,1110,1225,1270,1400,605,470,"*"
"Monmouthshire (4)",".",".",".",".",".",".",".",".",".",745,785,795,760,900,600,435,"."
"Newport (4)",".",".",".",".",".",".",".",".",".",1600,1695,1640,1795,1760,1170,820,10
"Cardiff (3)",".",".",".",".",".",".",".",".",".",3345,3300,3345,3545,3460,1785,1350,"*"
"Wales (5)",".",".",".",".",".",".",".",".",".",30960,31515,32515,33550,34475,15815,12390,55


