"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)"
"Isle of Anglesey (1)",".",".",".",".",".",".",".",".",".",650,640,640,650,595,285,250,"."
"Gwynedd (1)",".",".",".",".",".",".",".",".",".",1310,1295,1170,1150,1075,345,335,"."
"Conwy (1)",".",".",".",".",".",".",".",".",".",1100,1120,1100,1075,995,585,535,"."
"Denbighshire (1)",".",".",".",".",".",".",".",".",".",1165,1150,1120,1075,970,380,335,"."
"Flintshire (1)",".",".",".",".",".",".",".",".",".",1745,1630,1625,1670,1490,565,515,"."
"Wrexham (1)",".",".",".",".",".",".",".",".",".",1270,1290,1215,1175,1070,115,105,"."
"Powys (2)",".",".",".",".",".",".",".",".",".",1205,1205,1220,1240,1170,475,420,"."
"Ceredigion (2)",".",".",".",".",".",".",".",".",".",520,455,505,515,465,265,255,"."
"Pembrokeshire (2)",".",".",".",".",".",".",".",".",".",1100,1135,1085,1070,1015,325,260,"."
"Carmarthenshire (2)",".",".",".",".",".",".",".",".",".",2025,1975,1950,1920,1840,775,715,"*"
"Swansea (2)",".",".",".",".",".",".",".",".",".",2565,2490,2385,2420,2385,735,585,"."
"Neath Port Talbot (2)",".",".",".",".",".",".",".",".",".",930,975,980,920,860,110,75,"."
"Bridgend (3)",".",".",".",".",".",".",".",".",".",1650,1545,1615,1490,1395,770,725,"."
"Vale of Glamorgan (3)",".",".",".",".",".",".",".",".",".",1460,1375,1375,1330,1260,705,560,"."
"Rhondda Cynon Taf (3)",".",".",".",".",".",".",".",".",".",2305,2295,2245,2100,2180,950,790,5
"Merthyr Tydfil (3)",".",".",".",".",".",".",".",".",".",620,585,595,540,515,".",".","."
"Caerphilly (4)",".",".",".",".",".",".",".",".",".",1890,1875,1840,1910,1815,420,355,"*"
"Blaenau Gwent (4)",".",".",".",".",".",".",".",".",".",245,310,250,290,230,".",".","."
"Torfaen (4)",".",".",".",".",".",".",".",".",".",1110,1125,1120,1075,1025,365,305,"."
"Monmouthshire (4)",".",".",".",".",".",".",".",".",".",750,780,790,805,790,410,370,"."
"Newport (4)",".",".",".",".",".",".",".",".",".",1885,1750,1765,1650,1605,885,725,"."
"Cardiff (3)",".",".",".",".",".",".",".",".",".",3815,3665,3550,3335,3255,1755,1295,"."
"Wales (5)",".",".",".",".",".",".",".",".",".",31315,30655,30135,29410,28010,11235,9505,10


