"","","","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 ","2021-22 "
"","","Powys - Special ",294,294,294,296,292,291,267,279,282,276
"","Ceredigion ","",9540.5,9385.5,9456,9413,9384,9304.5,9404.5,9433,9447,9368
"","Ceredigion ","Ceredigion - Nursery ",0,0,0,0,0,0,0,0,0,0
"","","Ceredigion - Primary ",4911.5,4853.5,4632,4474,4508,4231.5,4301,4247.5,4263,4282.5
"","","Ceredigion - Middle ",".",".",1068,1408,1378,2081,2151.5,2204.5,2274,2209.5
"","","Ceredigion - Secondary ",4629,4532,3756,3531,3498,2992,2952,2981,2910,2876
"","","Ceredigion - Special ",0,0,".",0,0,0,0,0,0,0
"","Pembrokeshire ","",17807.5,17662,17694,17442,17190,17015,16895.5,16817,16847.5,16856.5
"","Pembrokeshire ","Pembrokeshire - Nursery ",0,0,0,0,0,0,0,0,0,0
"","","Pembrokeshire - Primary ",9816.5,9814,10047,10108,10192,10184,9915.166667,9702,9545,9392
"","","Pembrokeshire - Middle ",".",".",0,0,0,0,494,858,1079,1184
"","","Pembrokeshire - Secondary ",7863,7709,7509,7186,6850,6677,6331.333333,6103,6068,6122
"","","Pembrokeshire - Special ",128,139,138,148,148,154,155,154,155.5,158.5
"","Carmarthenshire ","",26992.5,26944,26831.5,26913.5,26934,26905,27028.5,27181.5,27147,27159.5
"","Carmarthenshire ","Carmarthenshire - Nursery ",73,81,72,74,80,78,95,99,105,103.5
"","","Carmarthenshire - Primary ",14843.5,14946,15122.5,15342.5,15615,15596,15629.5,15614.5,15476,15335
"","","Carmarthenshire - Middle ",".",".",0,0,0,0,0,0,0,0
"","","Carmarthenshire - Secondary ",11947,11788,11508,11377,11119,11111,11184,11327,11426,11581
"","","Carmarthenshire - Special ",129,129,129,120,120,120,120,141,140,140
"","Swansea ","",33485.808333,33528.966667,33629.75,33991,34417.175,34452.95,34274.083333,34285,34028.375,33929.416667
"","Swansea ","Swansea - Nursery ",0,0,0,0,0,0,0,0,0,0
"","","Swansea - Primary ",19284.691667,19523.716667,19852,20187.5,20435.341667,20580.783333,20501.416667,20252,19749.875,19428
"","","Swansea - Middle ",".",".",0,0,0,0,0,0,0,0
"","","Swansea - Secondary ",14041.416667,13837.25,13605.666667,13626.75,13799.75,13687.166667,13587.666667,13851,14073.5,14286.666667
"","","Swansea - Special ",159.7,168,172.083333,176.75,182.083333,185,185,182,205,214.75
"","Neath Port Talbot ","",19562.083333,19425.625,19449.916667,19565.125,19723.708333,19756.916667,19904.986111,19999.423611,20308.541667,20302.875
"","Neath Port Talbot ","Neath Port Talbot - Nursery ",0,0,0,0,0,0,0,0,0,0
"","","Neath Port Talbot - Primary ",11127.916667,11185.791667,11405.833333,11582.625,11451.979167,11144.291667,10970.670139,10949.083333,10977.333333,10892.916667
"","","Neath Port Talbot - Middle ",".",".",0,0,890.75,2252.131944,3446.732639,3955.208333,4271.375,4327.125
"","","Neath Port Talbot - Secondary ",8237.083333,8031.916667,7824.166667,7764.75,7132.0625,6106.493056,5229.583333,4818.631944,4771.333333,4791.75
"","","Neath Port Talbot - Special ",197.083333,207.916667,219.916667,217.75,248.916667,254,258,276.5,288.5,291.083333
"","Bridgend ","",22336.93,22301,22574.59,22790.35,22952.52,22851.4,22920,23104,23135,23112
"","Bridgend ","Bridgend - Nursery ",37.17,27,25,0,0,0,0,0,0,0
"","","Bridgend - Primary ",12232.71,12390.24,12656,13000.02,13211.88,13281.9,13317,13303,13281,13037
"","","Bridgend - Middle ",".",".",0,0,0,0,0,0,0,0
"","","Bridgend - Secondary ",9676.92,9552.91,9548.59,9458.66,9401.64,9222.5,9249,9418,9453,9676
"","","Bridgend - Special ",390.13,330.85,345,331.67,339,347,354,383,401,399
"","Vale of Glamorgan ","",21222,21264.5,21287,21453.75,21599.25,21885,21862,22058,22249,22686
"","Vale of Glamorgan ","Vale of Glamorgan - Nursery ",144.25,145.5,146.5,141,143.5,94,85,93,85,76
"","","Vale of Glamorgan - Primary ",11254.75,11510.5,11760,11955.666667,12002.75,12258,12310,12265,12254,12223
"","","Vale of Glamorgan - Middle ",".",".",0,574.583333,1026,1078,1134,1175,1268,1346
"","","Vale of Glamorgan - Secondary ",9562.5,9351.5,9124,8543.5,8161,8203,8081,8245,8350,8713
"","","Vale of Glamorgan - Special ",260.5,257,256.4999,239,266,252,252,280,292,328
"","Rhondda Cynon Taf ","",39163,39040,38956,38798,38500,38055.5,38214.875,38209,38327.3,38644
"","Rhondda Cynon Taf ","Rhondda Cynon Taf - Nursery ",107,68,33,37,31,0,0,0,0,0
"","","Rhondda Cynon Taf - Primary ",21494,21790,22148,22186,22065.5,21805.5,21310.541667,20493.25,20139.3,19861
"","","Rhondda Cynon Taf - Middle ",".",".",489,471,509,508,2567,4667.083333,5349,5500
"","","Rhondda Cynon Taf - Secondary ",17088,16696,15795,15617,15357,15194,13790.333333,12477.666667,12259,12708
"","","Rhondda Cynon Taf - Special ",474,486,491,487,537.5,548,547,571,580,575
