"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)"
"Isle of Anglesey (1)",".",650,760,775,775,755,745,735,715,".",".",".",".",".",".",".","."
"Gwynedd (1)",".",1060,1175,1285,1215,1265,1220,1215,1245,".",".",".",".",".",".",".","."
"Conwy (1)",".",1045,1115,1160,1185,1185,1105,1150,1105,".",".",".",".",".",".",".","."
"Denbighshire (1)",30,1060,1110,1045,1135,1090,1080,1155,1040,".",".",".",".",".",".",".","."
"Flintshire (1)",70,1550,1705,1775,1755,1785,1785,1800,1795,".",".",".",".",".",".",".","."
"Wrexham (1)",85,1495,1620,1665,1700,1660,1650,1695,1555,".",".",".","*",".",".",".","."
"Powys (2)",125,420,1215,1240,1320,1265,1270,1350,1250,".",".",".",".",".",".",".","."
"Ceredigion (2)",15,370,630,615,580,625,510,525,575,".",".",".",".",".",".",".","."
"Pembrokeshire (2)",300,1140,1195,1390,1340,1340,1325,1350,1315,".",".",".",".",".",".",".","."
"Carmarthenshire (2)",365,1520,1975,2045,2070,1995,1910,2090,1980,".",".",".",".",".",".",".","."
"Swansea (2)",815,2470,2595,2810,2780,2700,2660,2830,2660,".",".",".",".",".",".",".","."
"Neath Port Talbot (2)",475,1365,1405,1490,1535,1490,1495,1495,1455,".",".",".",".",".",".",".","."
"Bridgend (3)",375,1490,1630,1715,1770,1695,1600,1640,1625,".",".",".",".",".",".",".","."
"Vale of Glamorgan (3)",390,1270,1580,1595,1650,1670,1615,1645,1590,".",".",".",".",".",".",".","."
"Rhondda Cynon Taf (3)",455,2605,2700,2735,2890,2770,2780,2750,2680,".",".",".",".",".",".",".","."
"Merthyr Tydfil (3)",200,645,725,735,720,655,720,760,670,".",".",".",".",".",".",".","."
"Caerphilly (4)",565,1945,2075,2070,2155,2130,2095,2125,2025,".",".",".",".",".",".",".","."
"Blaenau Gwent (4)",165,590,620,580,585,605,595,635,535,".",".",".",".",".",".",".","."
"Torfaen (4)",180,810,1115,1100,1110,1125,1090,1080,1070,".",".",".",".",".",".",".","."
"Monmouthshire (4)",140,330,880,915,900,910,915,935,900,".",".",".",".",".",".",".","."
"Newport (4)",270,1475,1990,1960,1985,1965,1925,2025,1825,".",".",".",".",".",".",".","."
"Cardiff (3)",715,3635,4100,4370,4350,4185,4245,4165,3975,".",".",".",".",".",".",".","."
"Wales (5)",5735,28940,33905,35060,35510,34875,34335,35145,33590,".",".",".","*",".",".",".","."


