"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5222194 - Victoria. Junior School ",".",".",".",".",".","."
"","","","5222195 - Victoria Infants C.P. School ",".",".",".",".",".","."
"","","","5222196 - Hafod Y Wern Infants C.P. School ",".",".",".",".",".","."
"","","","5222197 - Hafod Y Wern Junior School ",".",".",".",".",".","."
"","","","5222198 - Gwenfro Infants  School ",".",".",".",".",".","."
"","","","5222199 - Gwenfro Junior C.P. School ",".",".",".",".",".","."
"","","","5222200 - Rhostyllen C.P. School ",616.288,649.877,645.881,668.898,706.807,765.72
"","","","5222201 - Rhosymedre Junior C.P. ",".",".",".",".",".","."
"","","","5222202 - Acton Park Infants School ",".",".",".",".",".","."
"","","","5222203 - Borras Park Infants School ",775.849,347.615,".",".",".","."
"","","","5222204 - Deiniol C.P. School ",547.552,598.997,624.759,629.35,649.062,664.948
"","","","5222205 - Borras Park Junior C.P. School ",805.579,356.398,".",".",".","."
"","","","5222206 - Rhosymedre Infants C.P. School ",".",".",".",".",".","."
"","","","5222207 - Bryn Golau Infants School ",".",".",".",".",".","."
"","","","5222208 - Barker's Lane C.P. School ",649.344,682.188,676.462,703.022,732.076,782.709
"","","","5222209 - Wat's Dyke C.P. School ",898.757,907.436,959.867,1010.125,1054.469,1104.55
"","","","5222213 - Ysgol Y Drindod School ",".",".",".",".",".","."
"","","","5222222 - Johnstown Infants School ",558.132,".",".",".",".","."
"","","","5222224 - Ysgol Bryn Tabor ",821.297,824.568,831.935,866.51,874.136,949.583
"","","","5222232 - Ysgol Sant Dunawd ",409.042,413.903,434.475,431.109,409.985,427.429
"","","","5222235 - Holt's Community Primary School ",328.265,344.244,340.962,351.212,331.408,364.89
"","","","5222238 - Ysgol Bodhyfryd ",1143.963,1274.464,1365.063,1379.028,1417.464,1446.758
"","","","5222240 - Ysgol Y Gaer ",".",".",".",".",".","."
"","","","5222258 - Ysgol Y Rhos ",".",".",".",".",".","."
"","","","5222259 - Ysgol Hooson ",948.244,935.573,942.963,966.719,972.111,1015.29
"","","","5222263 - Ysgol Plas Coch ",974.253,1027.874,1006.589,1019.628,1008.999,1047.812
"","","","5222266 - Penygelli primary ",847.91,863.262,930.513,1001.153,1063.219,1118.017
"","","","5222267 - Ysgol Penrhyn New Broughton Primary ",712.999,708.397,709.276,721.495,683.811,737.171
"","","","5222268 - Ysgol Heulfan ",1653.356,1684.809,1757.188,1903.841,1981.221,2036.521
"","","","5222269 - Hafod Y Wern Primary ",1045.657,1051.546,1151.017,1198.198,1259.808,1260.657
"","","","5222270 - Gwenfro Primary ",1272.475,1261.842,1258.711,1334.424,1376.267,1464.317
"","","","5222271 - Llay Park Primary ",1123.924,1120.262,1148.306,1175.094,1257.917,1332.494
"","","","5222272 - Rhosymedre Primary ",908.403,975.777,956.215,999.796,1027.542,1106.045
"","","","5222273 - Ysgol Maes y Mynnyd ",1151.217,1201.866,1187.219,1180.624,1202.232,1225.779
"","","","5222274 - Gwersyllt Primary ",878.203,904.256,941.655,897.729,910.99,956.935
"","","","5222275 - Penycae Primary ",695.442,718.277,747.577,786.47,825.021,839.801
"","","","5222276 - Acton Primary School ",1576.258,1558.437,1561.956,1594.382,1615.006,1658.638
"","","","5222277 - Victoria Community Primary ",1330.225,1338.869,1378.2,1377.577,1471.99,1583.064
"","","","5222278 - Ysgol y Waun ",1066.553,1077.56,1099.342,1139.343,1197.403,1287.324
"","","","5222279 - Ysgol Bro Alun ",326.514,409.749,524.233,624.455,746.746,896.524
"","","","5222280 - Ysgol Yr Hafod ",".",1103.283,1160.633,1186.924,1210.705,1281.673
"","","","5222281 - Borras Community Primary School ",".",920.428,1599.964,1624.19,1681.33,1802.521
"","","","5223028 - St Peter's CIW Voluntary Controlled Primary School ",673.358,691.73,704.001,718.58,744.197,760.496
"","","","5223035 - Ysgol-Y-Wern ",".",".",".",".",".","."
"","","","5223036 - Pentre Church in Wales Controlled Primary School ",286.849,293.251,292.925,293.415,298.358,307.297
"","","","5223042 - Eyton CIW Voluntary Controlled Primary School ",269.106,290.002,287.922,281.633,283.167,299.682
"","","","5223043 - St Paul's Controlled (CIW) Primary School ",".",".",".",".",".","."
"","","","5223052 - St Giles Junior Controlled School ",".",".",".",".",".","."
"","","","5223053 - St Giles Infants School ",".",".",".",".",".","."
"","","","5223054 - Borderbrook School ",189.733,182.902,178.672,185,193.07,205.178
"","","","5223055 - St Giles Primary ",1339.676,1388.8,1377.924,1418.604,1470.014,1538.248
"","","","5223301 - Bronington Voluntary Aided Primary School ",365.351,334.701,340.687,369.725,321.194,295.46
"","","","5223305 - Madras Primary School ",428.624,413.143,422.543,433.028,417.323,452.009
"","","","5223326 - Hanmer Primary School ",291.885,283.716,278.75,300.436,295.878,340.705
"","","","5223334 - St Mary's R.C. Primary School ",1131.881,1166.565,1176.564,1196.694,1207.705,1251.314
"","","","5223337 - Minera Aided Primary School ",383.706,380.46,377.751,368.567,385.159,402.557
"","","","5223338 - All Saints Primary School ",904.511,949.309,957.947,900.608,899.287,938.67
"","","","5223341 - St Mary's Primary (Ruabon) School ",659.973,672.479,710.445,702.103,736.954,810.219
"","","","5223342 - St Mary's Aided Primary School ",549.245,532.761,543.929,597.455,571.621,585.342
"","","","5223343 - St Anne's R.C. Primary School ",756.973,729.628,736.811,723.434,711.422,739.046
"","","","5223346 - St Mary's C.I.W. Aided School ",583.206,611.035,562.472,553.56,582.304,604.988
"","","","5223347 - St Pauls Voluntary Aided Primary School ",205.12,224.414,224.068,229.413,231.536,243.317
"","","","5229991 - Unallocated resources - primary ",163,197.204,520,410.686,309.212,174.265
"","","Wrexham - Middle ","5229996 - Unallocated resources - middle ",".",0,0,0,0,0
"","","Wrexham - Secondary ","",30119.337,30347.318,30630.267,30708.389,31966.557,34889.406
"","","Wrexham - Secondary ","5224029 - Ysgol-Y-Grango ",2364.337,2446.136,2577.772,2568.543,2618.852,2886.822
"","","","5224032 - Ysgol Morgan Llwyd ",3748.817,3665.045,3738.774,3860.514,3853.323,4279.651
"","","","5224033 - Ysgol Bryn Alyn ",3265.393,3379.639,3322.833,3405.359,3525.484,3743.779
"","","","5224034 - Darland High School ",3597.415,3856.107,4008.74,4086.679,4205.289,4508.076
"","","","5224035 - St David's High School ",".",".",".",".",".","."
"","","","5224036 - Ysgol Bryn Offa ",".",".",".",".",".","."
"","","","5224044 - Ysgol Rhiwabon ",2816.066,2614.213,2415.255,2302.098,2290.505,2445.267
"","","","5224047 - The Groves High School ",".",".",".",".",".","."
"","","","5224048 - Ysgol Rhosnesni ",3859.174,3795.986,3605.683,3653.797,3711.358,4494.559
"","","","5224049 - Ysgol Clywedog ",3682.933,3586.297,3545.402,3498.432,3745.548,4224.02
"","","","5224602 - St Joseph's Catholic High School ",".",".",".",".",".","."
"","","","5224603 - St Joseph's Catholic and Anglican Secondary School ",3062.64,3163.194,3212.673,3312.463,3505.806,3795.637
"","","","5225401 - The Maelor School ",3596.988,3714.899,3802.333,3746.713,3892.338,4163.225
"","","","5229992 - Unallocated resources - secondary ",125.574,125.802,400.802,273.791,618.054,348.37
"","","Wrexham - Special ","",4008.161,4209.958,4173.382,4287.961,4459.787,4792.392
"","","Wrexham - Special ","5227005 - St Christopher's School ",4002.266,4192.958,4167.487,4287.961,4437.076,4779.573
"","","","5229993 - Unallocated resources - special ",5.895,17,5.895,0,22.711,12.819
"","Powys ","","",75614.088,74081.824,73519.612,73093.249,77358.587701,82582.799
"","Powys ","Powys - Nursery ","5249994 - Unallocated resources - nursery ",0,0,0,0,0,0
"","","Powys - Primary ","",36123.121,35167.646416,34587.282253,34159.923517,36734.398106,37543.606
"","","Powys - Primary ","5242000 - Aberhafesp C.P. School ",".",".",".",".",".","."
"","","","5242002 - Abermule Primary School ",271.264,259.215,248.716,226.283,243.626,257.916
"","","","5242003 - Arddleen C.P. School ",295.336,309.029,322.986,336.081,363.661,401.051
"","","","5242004 - Banw C.P. School ",174.39,183.519,168.176,156.33,173.299,93.289
"","","","5242005 - Berriew C.P. School ",313.226,287.7,303.33,284.289,308.293,334.896
"","","","5242008 - Caersws C.P. School ",283.42,245.881,224.562,225.455,243.881,263.814
"","","","5242009 - Ysgol Gynradd Carno ",188.891,178.166,189.174,189.583,207.855,225.619
"","","","5242010 - Carreghofa C.P. School ",367.837,369.211,370.245,351.927,378.832,340.358
"","","","5242016 - Dolfor C.P. School ",".",".",".",".",".","."
"","","","5242018 - Leighton C.P. School ",276.492,269.276,243.959,255.453,345.355,352.482
"","","","5242019 - Ysgol Llanbrynmair ",268.982,229.027,240.665,234.86,249.805,329.013
"","","","5242020 - Llandinam C.P. School ",197.145,201.53,192.791,189.758,219.431,198.755
"","","","5242021 - Llanfair Caereinion C.P. ",704.805,666.759,659.958,627.697,630.394,629.204
"","","","5242023 - Llangurig C.P. School ",".",".",".",".",".","."
"","","","5242026 - Ysgol Efyrnwy ",".",".",".",".",".","."
"","","","5242031 - Machynlleth C.P. School ",".",".",".",".",".","."
"","","","5242033 - Ysgol Meifod ",277.771,258.898,299.365,273.061,307.547,326.721
"","","","5242040 - Penygloddfa C.P. School ",949.881,953.185,941.174,891.661,913.071,966.512
"","","","5242041 - Ysgol Pontrobert ",141.087,164.515,171.981,164.397,197.353,213.426
"","","","5242044 - Ysgol Dyffryn Trannon ",484.945,477.48,493.5,483.657,506.565,548.717
"","","","5242045 - Trefnanney C.P. School ",".",".",".",".",".","."
"","","","5242047 - Ardwyn Nursery & Infant School ",351.921,319.989,303.956,".",".","."
"","","","5242048 - Ladywell Green Nurs. & Inf. School ",582.806,531.376,468.178,462.437,469.339,489.709
"","","","5242049 - Guilsfield C.P. School ",463.976,475.657,459.999,479.596,507.452,522.846
"","","","5242050 - Llanidloes C.P. School ",990.394,935.362,909.185,916.56,961.21,1033.219
"","","","5242051 - Buttington Trewern C.P. School ",601.047,599.236,536.394,528.362,521.515,614.435
"","","","5242053 - Brynhafren C.P. School ",202.84,229.144,208.747,197.87,214.396,239.342
"","","","5242054 - Churchstoke C.P. School ",229.815,207.335,196.448,192.601,185.957,201.834
"","","","5242055 - Ysgol Maesydre ",587.353,565.609,603.609,".",".","."
"","","","5242056 - Hafren C.P. Junior School ",462.599,468.113,462.324,473.033,587.229,595.541
"","","","5242057 - Llanfyllin C.P. School ",602.435,543.814,557.486,556.45,566.866,242.619
"","","","5242058 - Ysgol Glantwymyn ",279.823,273.716,285.296,279.82,289.187,325.312
"","","","5242059 - Ysgol Pennant ",255.838,252.975,273.312,262.516,271.228,303.469
"","","","5242060 - Maesyrhandir C.P. School ",654.981,650.657,641.192,610.297,633.691,645.148
"","","","5242061 - Oldford  Infant School ",287.406,290.127,258.798,".",".","."
"","","","5242062 - Treowen C.P. School ",432.427,442.64,473.756,463.716,504.89,460.771
"","","","5242066 - Franksbridge C.P. School ",160.095,159.686,163.142,177.201,210.67,233.007
"","","","5242068 - Llanbister C.P. School ",172.692,129.796,167.679,184.312,203.504,287.727
"","","","5242070 - Llandrindod Wells C.P. School ",847.76,871.6,822.162,763.217,788.847,797.669
"","","","5242071 - Llanfihangel Rhydithon C.P. ",132.271,136.704,143.316,165.346,190.428,208.037
"","","","5242074 - Rhosgoch C.P. School ",".",".",".",".",".","."
"","","","5242075 - Presteigne C.P. School ",562.174,545.529,542.035,564.969,550.075,630.166
"","","","5242076 - Radnor Valley C.P. School ",228.408,227.338,253.436,258.636,246.777,253.628
"","","","5242077 - Crossgates C.P. School ",529.538,533.422,571.939,529.761,594.951,584.193
"","","","5242079 - Mount Street C.P. Junior ",391.471,413.947,414.334,425.956,500.552,557.881
"","","","5242080 - Mount Street C.P. Infants ",606.79,631.714,575.858,547.196,562.274,526.441
"","","","5242083 - Libanus C.P. School ",".",".",".",".",".","."
"","","","5242084 - Ysgol Dolafon ",333.896,318.897,252.965,253.847,250.148,262.848
"","","","5242089 - Builth Wells C.P. School ",933.032,887.204,847.288,808.819,805.48,840.194
"","","","5242092 - Sennybridge C.P. School ",451.398,464.108,456.655,481.725,528.236,546.909
"","","","5242093 - Trecastle C.P. School ",".",".",".",".",".","."
"","","","5242096 - Ysgol Thomas Stephens ",".",".",".",".",".","."
"","","","5242097 - Ysgol Gymraeg Cwmtwrch ",".",".",".",".",".","."
"","","","5242099 - Ysgol Cynlais ",".",".",".",".",".","."
"","","","5242101 - Gurnos C.P. School ",".",".",".",".",".","."
"","","","5242102 - Penrhos C.P. School ",".",".",".",".",".","."
"","","","5242104 - Ysgol Gymraeg Ynyscedwyn ",".",".",".",".",".","."
"","","","5242105 - Glanrhyd C.P. School ",".",".",".",".",".","."
"","","","5242106 - Abercrave C.P. School ",".",".",".",".",".","."
"","","","5242107 - Caehopkin C.P. School ",".",".",".",".",".","."
"","","","5242108 - Coelbren C.P. School ",".",".",".",".",".","."
"","","","5242113 - Crickhowell C.P. School ",760.652,756.557,697.403,672.327,701.448,766.054
"","","","5242114 - Llanigon C.P. School ",0,".",".",".",".","."
"","","","5242115 - Cradoc C.P. School ",411.809,409.988,408.905,411.275,410.125,422.63
"","","","5242116 - Hay-On-Wye C.P. School ",508,536.81,538.426,579.3,582.853,650.122
"","","","5242117 - Llangynidr C.P. School ",416.6,444.662,435.951,432.75,467.043,459.856
"","","","5242119 - Talgarth C.P. School ",272.745,272.544,229.228,".",".","."
"","","","5242121 - Penycae C.P. School ",".",".",".",".",".","."
"","","","5242122 - Irfon Valley C.P. School ",225.656,204.319,197.04,193.247,220.928,245.762
"","","","5242123 - Bronllys C.P. School ",199.201,175.697,179.03,".",".","."
"","","","5242125 - Llanfaes C.P. School ",716.573,728.409,706.177,687.264,700.991,728.938
"","","","5242127 - Ysgol Y Bannau ",539.989,505.441,506.276,455.729,438.2,446.468
"","","","5242129 - Ysgol Rhiw Bechan ",527.984,509.402,518.444,521.898,575.423,619.319
"","","","5242146 - Llanrhaeadr Ym Mochnant C.P. School ",352.568,320.534,341.752,336.335,376.389,433.61
"","","","5242147 - Ysgol Bro Cynllaith ",175.22,165.751,152.27,155.59,205.093,196.966
"","","","5242148 - Ysgol Dafydd Llwyd ",578.095,571.833,596.404,609.899,647.022,669.025
"","","","5242149 - Ysgol y Cribarth ",525.25,522.729,504.422,493.424,457.059,489.338
"","","","5242150 - Ysgol Golwg y Cwm ",703.721,713.712,690.175,665.307,770.097,856.475
"","","","5242151 - Ysgol Bro Tawe ",810.004,745.947,704.179,660.219,711.922,747.657
"","","","5242152 - Ysgol Gymraeg Dyffryn y Glowyr ",920.714,945.094,977.686,989.724,1091.698,1159.432
"","","","5242153 - Ysgol y Mynydd Du ",".",".",".",383.974,427.244,466.311
"","","","5242154 - Ysgol Gymraeg y Trallwng ",".",".",0,329.44,323.247,342.038
"","","","5243000 - Llanfechain C.I.W. School ",168.135,177.265,187.285,183.523,211.979,238.767
"","","","5243002 - Montgomery C.I.W. School ",428.157,405.653,387.85,377.604,388.199,406.994
"","","","5243005 - Gungrog C.I.W. Infant School ",315.106,335.709,337.213,".",".","."
"","","","5243016 - Forden C.I.W. School ",312.353,296.954,273.368,262.448,289.477,318.567
"","","","5243021 - Llandysilio C.I.W. School ",341.589,312.973,296.764,306.282,311.281,333.845
"","","","5243022 - Castle Caereinion C.I.W. ",189.411,164.765,169.563,172.926,191.422,172.98
"","","","5243023 - Beguildy C.I.W. School ",".",".",".",".",".","."
"","","","5243026 - Gladestry C.I.W. School ",170.949,172.199,179.676,177.372,201.709,221.748
"","","","5243028 - Howey C.I.W. School ",".",".",".",".",".","."
"","","","5243030 - Llandrindod Wells C.I.W. School ",775.686,746.278,724.018,749.033,794.356,854.902
"","","","5243031 - Newbridge-On-Wye V.P. ",338.697,358.739,373.096,380.058,435.808,452.524
"","","","5243032 - Nantmel C.I.W. School ",162.573,134.13,".",".",".","."
"","","","5243033 - Clyro C.I.W. School ",368.189,315.642,323.149,353.24,384.493,356.214
"","","","5243034 - Ffynnon Gynydd Church in Wales School ",".",".",".",".",".","."
"","","","5243035 - Knighton C.I.W. School ",704.989,707.79,687.626,686.203,708.006,751.169
"","","","5243036 - Rhayader C.I.W. School ",618.722,618.266,655.363,637.113,705.992,764.038
"","","","5243037 - Llanelwedd C.I.W. School ",297.036,305.29,337.313,347.583,319.003,340.117
"","","","5243042 - Cwmdu C.I.W. School ",".",".",".",".",".","."
"","","","5243046 - Llangedwyn Primary School ",142.907,141.763,149.572,153.184,212.06,190.597
"","","","5243048 - Llangattock C.I.W. School ",".",".",".",".",".","."
"","","","5243050 - Llangors  V.P. School ",452.741,470.908,478.316,492.279,492.151,572.651
"","","","5243051 - Welshpool C.I.W. Primary School ",".",".",0,1090.059,1070.631,1125.898
"","","","5243300 - Llanfihangel  Yng Ngwynfa School ",".",".",".",".",".","."
"","","","5243301 - St. Michael's C.I.W. School ",444.532,442.043,424.692,401.09,405.224,467.384
"","","","5243303 - Llansantffraid C.I.W.A. School ",390.195,410.608,390.729,383.925,402.951,424.651
"","","","5243306 - Sarn C.E. Aided School ",".",".",".",".",".","."
"","","","5243308 - Whitton (Aided) School ",133.761,".",".",".",".","."
"","","","5243314 - Glasbury C.I.W.(A) School ",".",".",".",".",".","."
"","","","5243316 - Llanbedr C.I.W. (Aided) School ",175.885,175.154,171.419,176.629,204.321,231.989
"","","","5243317 - Archdeacon Griffiths C.I.W. Primary School ",380.276,367.074,393.531,382.987,470.213,533.729
"","","","5243318 - Priory C.I.W. School ",524.396,532.763,501.206,494.659,581.098,584.392
"","","","5243319 - St Joseph's R.C. (A) School ",".",".",".",".",".","."
"","","","5243320 - St Mary`s R.C. (A) School ",400.21,367.19,354.051,349.251,326.48,335.791
"","","","5243321 - Cwmdu Voluntary Aided School ",".",".",".",".",".","."
"","","","5243322 - Llangattock C.I.W. School ",368.051,379.093,349.893,352.817,387.859,416.307
"","","","5245200 - Llanerfyl C.I.W. Foundation School ",162.136,167.788,173.396,152.093,125.118,75.028
"","","","5245201 - Banw/Llanerfyl New School ",".",".",".",".",".",130.605
"","","","5249991 - Unallocated resources - primary ",1181,973.094416,964.354253,1045.128517,1573.915106,658
"","","Powys - Middle ","",2488.327,2413.906177,2480.849434,2483.785835,2515.961791,5147.163
"","","Powys - Middle ","5245500 - Ysgol Bro Hyddgen ",2488.327,2347.113,2411.679,2407.794,2484.133,2734.384
"","","","5245501 - Ysgol Llanfyllin ",".",".",".",".",".",2322.779
"","","","5249996 - Unallocated resources - middle ",0,66.793177,69.170434,75.991835,31.828791,90
"","","Powys - Secondary ","",31717.937,31059.672152,30783.060819,30959.612416,32534.491667,34062.207
"","","Powys - Secondary ","5244000 - Caereinion High School ",2355.339,2268.379,2255.668,2271.204,2380.86,2579.284
"","","","5244001 - Llanfyllin High School ",3319.139,3337.563,3238.005,3137.567,3257.74,1467.513
"","","","5244002 - Llanidloes High School ",2458.282,2336.557,2275.933,2334.326,2570.449,3161.107
"","","","5244003 - Ysgol Bro Ddyfi ",".",".",".",".",".","."
"","","","5244011 - Newtown High School ",4842.417,4693.573,4617.121,4659.781,4904.07,5133.561
"","","","5244013 - Welshpool High School ",3559.36,3500.735,3428.151,3443.394,3659.012,3988.706
"","","","5244014 - John Beddoes School ",".",".",".",".",".","."
"","","","5244019 - Llandrindod High School ",2327.878,2276.187,2281.023,927.787,".","."
"","","","5244020 - Builth Wells High School ",2346.315,2441.966,2419.162,984.533,".","."
"","","","5244021 - Ysgol Maes-Y-Dderwen ",2087.28,2025.814,2111.487,2153.145,2362.463,2574.154
"","","","5244022 - Brecon High School ",2748.884,2504.17,2339.371,2283.914,2478.01,2750.379
"","","","5244023 - Gwernyfed High School ",1928.575,1918.077,1969.856,2004.21,2072.763,2563.611
"","","","5244024 - Crickhowell High School ",2810.468,2897.225,2988.998,3103.54,3407.532,3862.122
"","","","5244025 - Ysgol Calon Cymru ",".",".",".",2708.997,4872.361,5384.77
"","","","5249992 - Unallocated resources - secondary ",934,859.426152,858.285819,947.214416,569.231667,597
"","","Powys - Special ","",5284.703,5440.599255,5668.419494,5489.927233,5573.736137,5829.823
"","","Powys - Special ","5247001 - Brynllywarch Hall School ",1344.426,1368.724,1407.954,1348.362,1326.451,1326
"","","","5247002 - Ysgol Cedewain ",2022.446,1999.184,2183.861,2074.914,2169.311,2275.177
"","","","5247004 - Ysgol Penmaes ",1917.831,1922.149,1918.559,1898.686,1889.154,2126.646
"","","","5249993 - Unallocated resources - special ",0,150.542255,158.045494,167.965233,188.820137,102
"","Ceredigion ","","",41972.9365,41651.056042,41557.753,42293.667,44032.692,45842.195
"","Ceredigion ","Ceredigion - Nursery ","5269994 - Unallocated resources - nursery ",0,0,0,0,0,0
"","","Ceredigion - Primary ","",17448.959,17205.885488,16040.532,16175.128,17052.052,17696.938
"","","Ceredigion - Primary ","5262281 - Ysgol Gynradd Aberaeron ",590.775,616.928873,671.666,711.495,782.372,811.853
"","","","5262283 - Ysgol Gynradd Caerwedros ",".",".",".",".",".","."
"","","","5262284 - Cilcennin C.P. School ",149.507,143.234135,141.564,134.764,134.252,"."
"","","","5262285 - Ciliau Parc C.P. School ",208.127,207.280405,226.213,251.682,247.866,269.318
"","","","5262286 - Ysgol Gynradd Cribyn ",".",".",".",".",".","."
"","","","5262287 - Cross Inn C.P. School ",".",".",".",".",".","."
"","","","5262288 - Ysgol Gynradd Dihewyd ",174.125,150.292958,165.919,149.697,162.59,164.534
"","","","5262289 - Ysgol Gynradd Felinfach ",212.328,200.817905,199.727,193.917,188.391,195.943
"","","","5262290 - Gwenlli C.P. School ",".",".",".",".",".","."
"","","","5262291 - Ysgol Gynradd Llanarth ",261.187,202.724035,209.886,203.42,233.101,241.977
"","","","5262292 - Ysgol Llanllwchaearn ",".",".",".",".",".","."
"","","","5262293 - Ysgol Gynradd Llannon ",173.598,161.955875,183.371,184.33,158.129,169.594
"","","","5262294 - Ysgol Gynradd Mydroilyn ",".",".",".",".",".","."
"","","","5262295 - Ysgol Gynradd Cei Newydd ",312.732,303.676405,315.003,326.558,326.768,311.234
"","","","5262296 - Ysgol Penlôn ",".",".",".",".",".","."
"","","","5262297 - Pennant C.P. School ",".",".",".",".",".","."
"","","","5262298 - Y.G. Talgarreg ",202.33,213.199293,206.194,201.376,202.787,202.246
"","","","5262299 - Ysgol Gymraeg Aberystwyth ",1223.422,1218.691195,1213.018,1208.372,1279.927,1323.498
"","","","5262300 - Ysgol  Gynradd Brynherbert ",".",".",".",".",".","."
"","","","5262301 - Capel Seion Primary School ",".",".",".",".",".","."
"","","","5262303 - Comins Coch C.P. School ",549.415,549.59615,551.538,531.204,530.64,580.194
"","","","5262304 - Cwmpadarn C.P. School ",220.381,174.444532,".",".",".","."
"","","","5262306 - Ysgol Gynradd Llanafan ",".",".",".",".",".","."
"","","","5262307 - Y.G. Llangynfelyn ",157.538,138.366485,".",".",".","."
"","","","5262308 - Ysgol Llanfarian ",181.354,179.761738,183.808,186.101,193.915,200.364
"","","","5262309 - Ysgol  Gynradd Llanfihangel-Y-Creuddyn ",147.77,141.046452,152.239,168.683,164.094,171.248
"","","","5262310 - Ysgol Gynradd Llangwyryfon ",196.641,188.854185,186.477,178.96,182.763,186.586
"","","","5262311 - Ysgol Gynradd Llanilar ",378.662,381.996257,365.886,375.614,419.809,429.461
"","","","5262312 - Mynach C.P. School ",161.317,154.219012,155.141,152.403,159.112,176.659
"","","","5262313 - Ysgol Gynradd Penllwyn ",189.585,206.695748,190.44,186.319,182.933,188.754
"","","","5262314 - Ysgol Llwyn-Yr-Eos ",1291.569,1309.72131,1335.733,1389.528,1430.169,1560.036
"","","","5262315 - Ysgol Syr John Rhys ",149.28,145.564885,152.854,152.123,154.13,164.375
"","","","5262316 - Y.G. Rhydypennau ",559.296,561.662415,581.398,597.026,602.72,677.734
"","","","5262317 - Ysgol Gynradd Talybont ",271.806,250.14252,300.141,315.745,350.076,340.048
"","","","5262318 - Ysgol Gynradd Trefeurig ",".",".",".",".",".","."
"","","","5262319 - Ysgol Gynradd Aberporth ",537.933,536.955137,550.085,561.383,655.829,770.452
"","","","5262320 - Ysgol Gynradd Beulah ",175.499,164.414475,138.138,136.917,140.448,"."
"","","","5262321 - Ysgol Iau Aberteifi ",".",".",".",".",".","."
"","","","5262322 - Ysgol  Babanod  Aberteifi ",".",".",".",".",".","."
"","","","5262323 - Ysgol Gynradd Llechryd ",200.807,206.534572,230.859,221.526,243.547,255.042
"","","","5262324 - Penparc C.P. School ",354.261,362.437153,339.388,328.6,332.118,331.241
"","","","5262325 - Ysgol Y Ferwig ",".",".",".",".",".","."
"","","","5262328 - Ysgol Gynradd Cwrtnewydd ",171.094,148.10131,145.737,".",".","."
"","","","5262329 - Ffynnon Bedr C.P. School ",".",".",".",".",".","."
"","","","5262332 - Llanwnnen C.P. School ",169.644,166.725267,166.342,".",".","."
"","","","5262335 - Y.G. Capel Cynon ",".",".",".",".",".","."
"","","","5262336 - Y.G. Capel Dewi ",".",".",".",".",".","."
"","","","5262337 - Coedybryn C.P. ",158.789,135.046555,".",".",".","."
"","","","5262338 - Y.G. Glynarthen ",".",".",".",".",".","."
"","","","5262339 - Ysgol Gynradd Llandysul ",648.04,647.439622,".",".",".","."
"","","","5262340 - Ysgol Gynradd Penmorfa ",".",".",".",".",".","."
"","","","5262341 - Y.G. Pontgarreg ",".",".",".",".",".","."
"","","","5262342 - Ysgol Gynradd Pontsian ",161.904,149.693357,".",".",".","."
"","","","5262343 - Rhydlewis C.P. School ",".",".",".",".",".","."
"","","","5262344 - Ysgol Gynradd Tregroes ",".",".",".",".",".","."
"","","","5262345 - Ysgol Gynradd Trewen ",201.93,186.42026,167.694,152.636,141.851,"."
"","","","5262346 - Ysgol Gynradd Bronnant ",".",".",".",".",".","."
"","","","5262349 - Y.G. Llanddewi Brefi ",".",".",".",".",".","."
"","","","5262350 - Ysgol Gynradd Llangeitho ",".",".",".",".",".","."
"","","","5262351 - Ysgol  Gynradd Lledrod ",".",".",".",".",".","."
"","","","5262352 - Ysgol Gynradd Penuwch ",".",".",".",".",".","."
"","","","5262353 - Y.G. Pontrhydfendigaid ",243.964,260.872955,280.335,259.435,229.747,269.31
"","","","5262354 - Y.G. Swyddffynnon ",".",".",".",".",".","."
"","","","5262356 - Ysgol Gynradd Tregaron ",".",".",".",".",".","."
"","","","5262357 - Ysgol Ysbyty Ystwyth ",".",".",".",".",".","."
"","","","5262360 - Y.G. Blaenporth ",".",".",".",".",".","."
"","","","5262361 - Plascrug C.P.  School ",1399.277,1375.672138,1414.981,1380.011,1520.985,1515.394
"","","","5262362 - Ysgol Craig Yr Wylfa ",173.007,175.575992,209.608,216.275,205.158,208.404
"","","","5262363 - Ysgol Penrhyn Coch ",296.211,311.918062,309.046,299.275,322.492,348.49
"","","","5262364 - Aberbanc C.P. School ",161.318,153.64329,".",".",".","."
"","","","5262366 - Ysgol Y Dderi ",456.713,495.792402,465.434,435.242,445.42,456.944
"","","","5262367 - Ysgol Gynradd Cenarth ",272.377,273.319362,251.129,229.196,232.986,282.334
"","","","5262368 - Cardigan Community Primary School ",1319.206,1304.42227,1328.154,1382.374,1564.933,1630.877
"","","","5262369 - Ysgol Gymunedol Bro Sion Cwilt ",448.287,455.36483,454.936,436.08,464.442,475.939
"","","","5262370 - Ysgol Rhos Y Wlad ",".",".",".",".",".","."
"","","","5262371 - Ysgol Gynradd Gymunedol T Llew Jones ",606.118,597.027303,604.601,615.935,696.466,693.839
"","","","5262372 - Rhos Helyg Community Primary School ",345.816,320.64796,351.513,351.969,354.919,366.269
"","","","5262373 - Ysgol Dyffryn Cledlyn ",".",".",0,428.956,473.729,"."
"","","","5263058 - Ysgol Gynradd Wirfoddol Mefenydd ",301.616,305.95943,286.256,271.101,269.782,278.782
"","","","5263060 - Trefilan V.C.P. School ",".",".",".",".",".","."
