"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","Gwynedd - Primary ","5142000 - Ysgol Gwaun Gynfi ",586.667695,562.294715,515.784579,487.638629,547.674434,584.65539
"","","","5142004 - Ysgol Gynradd Nefyn ",471.162923,500.314055,521.575408,567.925556,537.332718,528.679219
"","","","5142006 - Ysgol Gynradd Llanrug ",815.754823,893.412691,825.085332,778.728231,812.115163,895.047874
"","","","5142008 - Ysgol Gynradd Abererch ",251.534876,285.161178,272.629883,296.117371,330.762299,337.889838
"","","","5142009 - Ysgol Gynradd Abersoch ",148.806273,127.557416,136.489631,126.730147,126.893817,137.139967
"","","","5142010 - Ysgol Gynradd Beddgelert ",163.880032,169.808787,160.427663,160.55692,148.10128,190.037544
"","","","5142011 - Ysgol Gynradd Bethel ",519.338311,502.612914,520.28313,520.347741,488.261501,535.613801
"","","","5142013 - Ysgol Bodfeurig ",248.934186,247.870776,234.739676,244.796055,256.788862,265.825182
"","","","5142015 - Ysgol Borthygest ",214.045053,222.950845,245.574526,243.85929,214.850676,196.885992
"","","","5142016 - Ysgol Bronyfoel ",70.374561,".",".",".",".","."
"","","","5142017 - Ysgol Brynaerau ",240.635936,233.288437,266.964533,241.458819,229.921516,266.78968
"","","","5142024 - Ysgol Gynradd Carmel ",70.518952,".",".",".",".","."
"","","","5142026 - Ysgol Y Gelli ",653.455226,679.519149,667.565698,681.719531,675.107804,748.576223
"","","","5142028 - Ysgol Penybryn ",518.45626,484.946342,489.098899,478.894504,527.873763,586.283244
"","","","5142033 - Ysgol Treferthyr ",406.394058,419.152689,414.717012,384.100751,389.431327,442.762201
"","","","5142035 - Ysgol Gynradd Cwm-y-Glo ",163.866026,160.40482,155.896563,171.918148,0,"."
"","","","5142036 - Ysgol Gynradd Chwilog ",194.549547,190.02758,190.633066,196.702377,206.719371,234.255473
"","","","5142039 - Ysgol Crud Y Werin ",240.399921,264.380085,234.566141,236.885178,247.879911,271.861292
"","","","5142042 - Ysgol Dolbadarn ",571.628925,570.755748,557.419966,585.373376,618.088482,646.125985
"","","","5142046 - Ysgol Gynradd Edern ",305.730285,288.649679,255.074378,279.536042,325.120852,357.063098
"","","","5142047 - Ysgol Gynradd Felinwnda ",159.033125,160.310176,163.899215,164.960552,151.32105,162.470919
"","","","5142048 - Ysgol Bro Plennydd ",286.034356,315.937686,296.873973,302.038052,291.687006,311.078984
"","","","5142049 - Ysgol Garndolbenmaen ",221.101675,234.15895,210.81751,197.329375,190.117712,204.591753
"","","","5142051 - Ysgol Glanadda ",205.333622,189.676145,252.576982,223.51069,212.324938,95.104748
"","","","5142057 - Y.G. Y Groeslon ",107.868157,".",".",".",".","."
"","","","5142059 - Y.G. Llanaelhaearn ",168.99512,166.791633,184.537348,170.357847,139.379438,136.405917
"","","","5142060 - Ysgol Llanbedrog ",284.985749,283.417491,289.414701,319.566039,321.084603,364.470268
"","","","5142066 - Ysgol Llangybi ",251.167744,217.402774,209.379139,200.413895,205.864914,213.670459
"","","","5142069 - Ysgol Gynradd Llanllechid ",821.227609,830.020022,820.04709,797.677728,806.592548,907.993528
"","","","5142070 - Ysgol Llanllyfni ",342.865394,318.834006,336.943396,288.813567,307.648637,334.644581
"","","","5142071 - Ysgol Llidiardau ",".",".",".",".",".","."
