"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 ","2021-22 "
"","","","5122227 - Ysgol Rhyd y Llan ",".",".",5347.826087,4410.447761,4609.929078,4769.230769,5114.503817
"","","","5122228 - Ysgol Gynradd Parc Y Bont ",".",".",".",".",".",4716.814159,5104.347826
"","","","5123033 - Ysgol Y Parch Thomas Ellis ",5413.005272,5243.478261,4731.481481,".",".",".","."
"","","","5123034 - Ysgol Parc Y Bont ",4351.464435,4398.058252,4519.607843,4490.740741,4495.575221,".","."
"","","","5123035 - Ysgol Llangaffo ",5020.408163,4938.77551,5512.820513,4878.04878,4500,".","."
"","","","5123036 - Ysgol Cybi ",".",".",4077.490775,3824.524313,4155.813953,4319.809069,4474.178404
"","","","5123037 - Ysgol Santes Dwynwen ",".",".",".",5750,5409.836066,4700,4612.403101
"","","","5123304 - Ysgol Santes Fair, St Mary' s R.C. School ",3359.639233,3522.47191,3381.72043,3369.942197,3681.818182,4075.862069,4529.850746
"","","","5125200 - Ysgol Gynradd Caergeiliog ",2889.310906,2901.960784,2848.717949,2822.5,2858.536585,3143.21608,3137.566138
"","","","5125201 - Establish a new Welsh medium primary school 3-11 ",".",".",".",".",".",0,"."
"","","","5129991 - Unallocated resources - primary ",".",".",".",".",".",".","."
"","","Isle of Anglesey - Middle ","5129996 - Unallocated resources - middle ",".",".",".",".",".",".","."
"","","Isle of Anglesey - Secondary ","",4117.58665,4262.692007,4876.442812,4892.201224,5038.533085,5464.152947,5462.55731
"","","Isle of Anglesey - Secondary ","5124025 - Ysgol Syr Thomas Jones ",4614.545455,4844.660194,5421.875,5606.557377,5473.477407,6123.287671,6156.787763
"","","","5124026 - Ysgol Uwchradd Caergybi ",3860.068259,4128.621089,4755.201958,4577.93765,4689.156627,5119.65812,5166.858458
"","","","5124027 - Ysgol Gyfun Llangefni ",3896,3955.380577,4621.883657,4840.77381,5233.176839,5448.120301,5449.472097
"","","","5124028 - Ysgol David Hughes ",3676.684882,3868.445262,4524.107143,4517.086331,4676.950998,5127.579737,5100.877193
"","","","5124029 - Ysgol Uwchradd Bodedern ",4794.498382,4869.70684,5390.015601,5350.230415,5300.146413,5648.22695,5595.075239
