"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)"
"Isle of Anglesey (1)",".",".",".",".",".",".",".",".",".",630,690,660,735,705,350,320,"."
"Gwynedd (1)",".",".",".",".",".",".",".",".",".",1320,1340,1335,1425,1255,410,335,"."
"Conwy (1)",".",".",".",".",".",".",".",".",".",1155,1150,1220,1270,1150,795,545,"."
"Denbighshire (1)",".",".",".",".",".",".",".",".",".",1090,1260,1285,1275,1160,680,500,"."
"Flintshire (1)",".",".",".",".",".",".",".",".",".",1620,1660,1715,1790,1700,1005,695,10
"Wrexham (1)",".",".",".",".",".",".",".",".",".",1285,1275,1245,1235,1245,215,170,"."
"Powys (2)",".",".",".",".",".",".",".",".",".",1295,1425,1465,1490,1450,750,615,"."
"Ceredigion (2)",".",".",".",".",".",".",".",".",".",705,735,765,750,710,520,435,10
"Pembrokeshire (2)",".",".",".",".",".",".",".",".",".",1240,1310,1360,1385,1315,730,525,"."
"Carmarthenshire (2)",".",".",".",".",".",".",".",".",".",1950,1990,2035,2190,2145,865,770,"*"
"Swansea (2)",".",".",".",".",".",".",".",".",".",2465,2415,2510,2635,2510,810,670,20
"Neath Port Talbot (2)",".",".",".",".",".",".",".",".",".",1470,1520,1650,1605,1690,225,210,"."
"Bridgend (3)",".",".",".",".",".",".",".",".",".",1480,1615,1630,1770,1480,930,685,"."
"Vale of Glamorgan (3)",".",".",".",".",".",".",".",".",".",1510,1585,1575,1625,1550,1050,780,"."
"Rhondda Cynon Taf (3)",".",".",".",".",".",".",".",".",".",2600,2710,2765,2995,2820,1850,1330,"*"
"Merthyr Tydfil (3)",".",".",".",".",".",".",".",".",".",600,605,605,680,680,360,225,30
"Caerphilly (4)",".",".",".",".",".",".",".",".",".",2035,2065,2145,2280,2150,790,600,5
"Blaenau Gwent (4)",".",".",".",".",".",".",".",".",".",670,700,725,730,760,230,180,"."
"Torfaen (4)",".",".",".",".",".",".",".",".",".",1110,1230,1280,1400,1305,645,540,5
"Monmouthshire (4)",".",".",".",".",".",".",".",".",".",785,795,755,905,865,545,440,"."
"Newport (4)",".",".",".",".",".",".",".",".",".",1680,1655,1795,1780,1640,1205,780,10
"Cardiff (3)",".",".",".",".",".",".",".",".",".",3285,3365,3555,3500,3495,1840,1360,20
"Wales (5)",".",".",".",".",".",".",".",".",".",31985,33095,34080,35460,33775,16795,12710,115


