"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","","5223348 - Establish a new Welsh medium primary school 3-11 (old Hafod Y Wern Infants site) ",".",".",".",".",0
"","","Wrexham - Secondary ","",608.77575,110.93278,-151.32274,-361.09081,-311.87552
"","","Wrexham - Secondary ","5224029 - Ysgol y Grango ",42.668,-54.35404,-109.71069,-205.14909,-188.75157
"","","","5224032 - Ysgol Morgan Llwyd ",87.67228,-162.88451,-42.93917,58.34081,143.07362
"","","","5224033 - Ysgol Bryn Alyn ",-17.83986,6.48332,-16.29025,-32.41775,50.62122
"","","","5224034 - Darland High School ",75.81353,35.1068,60.65673,50.32876,73.00397
"","","","5224035 - St David's High School ",".",".",".",".","."
"","","","5224036 - Ysgol Bryn Offa ",".",".",".",".","."
"","","","5224044 - Ysgol Rhiwabon ",-1.24025,-207.73863,-382.09216,-489.03114,-547.0457
"","","","5224047 - The Groves High School ",".",".",".",".","."
"","","","5224048 - Rhosnesni High School ",181.38166,241.41992,91.64165,-48.70196,-51.88951
"","","","5224049 - Ysgol Clywedog ",-60.20243,-76.97064,-38.20982,-79.50417,-139.66736
"","","","5224602 - St Joseph's Catholic High School ",".",".",".",".","."
"","","","5224603 - St Joseph's Catholic and Anglican High School ",12.70613,132.39846,143.93127,153.65124,116.03821
"","","","5225401 - The Maelor School ",287.81669,197.4721,141.6897,231.39249,232.7416
"","","Wrexham - Middle ","",".",".",".",".","."
"","","Wrexham - Special ","",-0.8627,-32.56772,-33.65349,-149.59686,-50.17849
"","","Wrexham - Special ","5227005 - St Christopher's School ",-0.8627,-32.56772,-33.65349,-149.59686,-50.17849
"","","","5227009 - Ysgol Powys ",".",".",".",".","."
"","","","5227017 - Wrexham Special Education Centre ",".",".",".",".","."
"","Powys ","","",2438.55996,37.9435999999998,-831.986940000002,-366.41485,-1392.06127
"","Powys ","Powys - Nursery ","",".",".",".",".","."
"","","Powys - Primary ","",2484.61209,1549.33703,2221.0054,2535.86285,58.8321100000003
"","","Powys - Primary ","5242000 - Aberhafesp C.P. School ",".",".",".",".","."
"","","","5242002 - Abermule C.P. School ",4.48634,-4.10541,9.90827,12.20713,22.65749
"","","","5242003 - Arddleen C.P. School ",22.65108,7.78439,30.54633,41.06166,-5.21651
"","","","5242004 - Banw C.P. School ",68.329,37.21966,28.52595,34.84668,13.03875
"","","","5242005 - Berriew C.P. School ",8.82899,-5.58049,-18.08978,-1.37876,-12.01332
"","","","5242008 - Caersws C.P. School ",-3.87361,-0.85686,7.69987,15.36635,1.70609
"","","","5242009 - Ysgol Gynradd Carno ",13.13758,9.39573,5.88427,11.07298,-5.62866
"","","","5242010 - Carreghofa C.P. School ",46.43056,28.66873,46.76815,13.14877,4.74602
"","","","5242016 - Dolfor C.P. School ",".",".",".",".","."
"","","","5242018 - Leighton C.P. School ",-5.343,-15.10826,-17.86715,-1.5494,41.0838
"","","","5242019 - Ysgol Llanbrynmair ",16.18909,18.29838,38.12068,56.40869,-18.23535
"","","","5242020 - Llandinam C.P. School ",26.19442,26.01474,32.08733,43.10175,17.00481
"","","","5242021 - Llanfair Caereinion C.P. ",68.49212,50.78838,71.51512,86.21268,17.06857
"","","","5242023 - Llangurig C.P. School ",".",".",".",".","."
"","","","5242026 - Ysgol Efyrnwy ",".",".",".",".","."
"","","","5242031 - Machynlleth C.P. School ",".",".",".",".","."
"","","","5242033 - Ysgol Meifod ",9.86991,-44.48762,-10.66419,-27.71791,-3.96611
"","","","5242040 - Penygloddfa C.P. School ",179.92679,23.07178,-12.67104,19.08464,2.70974
"","","","5242041 - Ysgol Pontrobert ",18.52782,22.21307,15.71556,9.03761,14.9312
"","","","5242044 - Ysgol Dyffryn Trannon ",-33.23857,-59.78702,-13.9728,20.20416,-3.66626
"","","","5242045 - Trefnanney C.P. School ",".",".",".",".","."
"","","","5242047 - Ardwyn Nursery & Infant School ",33.98524,21.16916,0,".","."
"","","","5242048 - Ladywell Green Nurs. & Inf. School ",90.19696,74.53726,83.53361,63.92491,18.54793
"","","","5242049 - Guilsfield C.P. School ",52.11969,45.3842,51.92721,62.802,17.8197
"","","","5242050 - Llanidloes C.P. School ",92.14769,66.80459,95.94696,122.73987,5.97171
"","","","5242051 - Buttington / Trewern C.P. School ",66.89444,50.90579,54.82006,74.53221,-40.7044
"","","","5242053 - Brynhafren C.P. School ",10.18022,-16.02523,-43.96285,-104.09186,-40.33929
"","","","5242054 - Churchstoke C.P. School ",-7.73283,3.35382,14.70046,15.02468,-10.75868
"","","","5242055 - Ysgol Maesydre ",6.90515,-37.60287,0,".","."
"","","","5242056 - Hafren C.P. Junior School ",36.83036,63.26424,52.61924,48.89876,47.16321
"","","","5242057 - Llanfyllin C.P. School ",14.43494,-15.75672,-18.78805,28.61995,12.33752
"","","","5242058 - Ysgol Glantwymyn ",-11.24578,7.10873,18.11206,31.04216,14.51712
"","","","5242059 - Ysgol Pennant ",57.93055,68.77452,83.70209,51.10856,-0.76072
"","","","5242060 - Maesyrhandir C.P. School ",69.03724,29.25025,9.27014,11.7455,-14.26115
"","","","5242061 - Oldford Infant School ",24.76928,37.90984,0,".","."
"","","","5242062 - Treowen C.P. School ",56.42141,43.19204,59.84103,65.4333,2.48745
"","","","5242066 - Franksbridge C.P. School ",22.45221,6.70094,0.93693,3.04577,10.48957
"","","","5242068 - Llanbister C.P. School ",8.62403,-5.8361,5.02256,16.84382,-29.80858
"","","","5242070 - Llandrindod Wells C.P. School ",44.14863,-4.99833,35.1793,24.07041,0.74048
"","","","5242071 - Llanfihangel Rhydithon C.P. ",13.36146,-18.3542,-47.0407,-5.04936,4.0794
"","","","5242074 - Rhosgoch C.P. School ",".",".",".",".","."
"","","","5242075 - Presteigne C.P. School ",39.3618,9.3947,13.10155,35.37026,-10.3285
"","","","5242076 - Radnor Valley C.P. School ",34.71533,21.48154,25.35979,37.89289,1.85612
"","","","5242077 - Crossgates C.P. School ",99.06775,49.17237,65.3208,36.90988,18.23437
"","","","5242079 - Mount Street C.P. Junior ",18.3023,37.60752,62.10656,101.13275,-51.05282
"","","","5242080 - Mount Street C.P. Infants ",79.11216,83.11699,90.1722,59.20556,6.8772
"","","","5242083 - Libanus C.P. School ",".",".",".",".","."
"","","","5242084 - Ysgol Dolafon ",14.12703,-3.56788,9.97186,30.21779,6.09972
"","","","5242089 - Builth Wells C.P. School ",61.5532,59.0127,92.34584,103.25596,-14.34349
"","","","5242092 - Sennybridge C.P. School ",15.01209,19.56876,12.12375,37.86754,24.72964
"","","","5242093 - Trecastle CP School ",".",".",".",".","."
"","","","5242096 - Ysgol Thomas Stephens ",".",".",".",".","."
"","","","5242097 - Ysgol Gymraeg Cwmtwrch ",".",".",".",".","."
"","","","5242099 - Ysgol Cynlais ",".",".",".",".","."
"","","","5242101 - Gurnos C.P. School ",".",".",".",".","."
"","","","5242102 - Penrhos C.P. School ",".",".",".",".","."
"","","","5242104 - Ysgol Gymraeg Ynyscedwyn ",".",".",".",".","."
"","","","5242105 - Glanrhyd C.P. School ",".",".",".",".","."
"","","","5242106 - Abercrave C.P. School ",".",".",".",".","."
"","","","5242107 - Caehopkin C.P. School ",".",".",".",".","."
"","","","5242108 - Coelbren CP School ",".",".",".",".","."
"","","","5242113 - Crickhowell C.P. School ",46.97366,39.82058,35.76196,33.99618,0.24406
"","","","5242114 - Llanigon C.P. School ",".",".",".",".","."
"","","","5242115 - Cradoc C.P. School ",41.44121,54.23259,38.90943,46.12799,-11.4974
"","","","5242116 - Hay-on-Wye C.P. School ",-12.0046,1.8831,13.63342,41.17323,-8.14108
"","","","5242117 - Llangynidr C.P. School ",-0.55393,10.05789,31.75495,48.92072,15.0624
"","","","5242119 - Talgarth C.P. School ",-7.37452,-15.14357,0,".","."
"","","","5242121 - Penycae C.P. School ",".",".",".",".","."
"","","","5242122 - Irfon Valley C.P. School ",10.43897,-2.35218,6.84128,8.61154,-3.30821
"","","","5242123 - Bronllys C.P. School ",15.23163,-5.39594,0,".","."
"","","","5242125 - Llanfaes C.P. School ",59.08391,37.01351,37.35869,55.68993,-11.01184
"","","","5242127 - Ysgol y Bannau ",40.06771,16.67992,44.38818,-6.95619,24.69157
"","","","5242129 - Ysgol Rhiw Bechan ",61.89384,29.00122,37.72201,41.44497,6.34283
"","","","5242146 - Llanrhaeadr ym Mochnant C.P. School ",20.16768,-14.16793,4.81357,20.08568,22.06585
"","","","5242147 - Ysgol Bro Cynllaith ",36.42793,17.98605,-9.34656,-24.25943,14.15108
"","","","5242148 - Ysgol Dafydd Llwyd ",120.13407,92.30085,63.8172,68.40242,-36.57144
"","","","5242149 - Ysgol y Cribarth ",5.71396,57.60204,62.33096,67.60169,-19.06843
"","","","5242150 - Ysgol Golwg y Cwm ",18.78821,31.94473,78.3797,74.60483,-8.03363
"","","","5242151 - Ysgol Bro Tawe ",7.06709,40.37977,84.3041,97.21332,-18.89617
"","","","5242152 - Ysgol Gymraeg Dyffryn y Glowyr ",18.69292,-16.10492,13.81458,-113.65166,28.94962
"","","","5242153 - Ysgol y Mynydd Du ",".",".",8.63485,2.84353,17.99563
"","","","5242154 - Ysgol Gymraeg y Trallwng ",".",".",5.76888,56.07587,25.74926
"","","","5243000 - Llanfechain C.I.W. School ",6.1711,-10.76973,-19.65339,-24.19166,-35.39524
"","","","5243002 - Montgomery C.I.W. School ",56.00962,51.96315,60.52427,82.36081,-3.19159
"","","","5243005 - Gungrog C.I.W. Infant School ",25.53341,32.21375,0,".","."
"","","","5243016 - Forden C.I.W. School ",33.93872,36.73322,48.47813,24.32574,-4.31226
"","","","5243021 - Llandysilio C.I.W. School ",48.65555,45.77457,37.90471,34.34192,-7.88036
"","","","5243022 - Castle Caereinion C.I.W. ",40.61325,23.09515,18.34251,30.80675,33.78601
"","","","5243023 - Beguildy C.I.W. School ",".",".",".",".","."
"","","","5243026 - Gladestry C.I.W. School ",43.42758,38.72633,46.96347,47.60062,5.04182
"","","","5243028 - Howey C.I.W. School ",".",".",".",".","."
"","","","5243030 - Llandrindod Wells C.I.W. School Trefonnen ",89.71152,43.41907,46.43535,50.13075,-27.03614
"","","","5243031 - Newbridge-on-Wye CIW School ",29.9072,21.33798,43.01327,40.81661,5.62067
"","","","5243032 - Nantmel C.I.W. School ",24.33815,0,".",".","."
"","","","5243033 - Clyro C.I.W. School ",-9.06813,-24.35183,-13.75971,4.9351,14.77122
"","","","5243034 - Ffynnon Gynydd Church in Wales School ",".",".",".",".","."
"","","","5243035 - Knighton C.I.W. School ",77.30691,77.88275,85.67487,91.41182,-9.02245
"","","","5243036 - Rhayader C.I.W. School ",-28.30792,-8.93975,3.07221,-0.13997,-45.75015
"","","","5243037 - Llanelwedd C.I.W. School ",-18.38921,-10.60171,32.20576,18.97085,-59.36253
"","","","5243042 - Cwmdu C.I.W. School ",".",".",".",".","."
"","","","5243046 - Llangedwyn C.I.W. School ",-30.24891,-43.9745,-11.5321,-4.8504,8.61079
"","","","5243048 - Llangattock C.I.W. School ",".",".",".",".","."
"","","","5243050 - Llangors CIW School ",-0.2466,3.55418,-0.43482,42.18637,-31.99943
"","","","5243051 - Welshpool C.I.W. Primary School ",".",".",80.35913,164.69362,20.44239
"","","","5243300 - Llanfihangel  Yng Ngwynfa School ",".",".",".",".","."
"","","","5243301 - St. Michael's C.I.W. School ",29.0591,19.14729,6.16816,10.54338,4.27066
"","","","5243303 - Llansantffraid C.I.W.A. School ",-25.42597,-50.51571,-30.38939,-12.79676,6.86819
"","","","5243306 - Sarn C.E. Aided School ",".",".",".",".","."
"","","","5243308 - Whitton (Aided) School ",0,".",".",".","."
"","","","5243314 - Glasbury C.I.W.(A) School ",".",".",".",".","."
"","","","5243316 - Llanbedr C.I.W. (Aided) School ",1.48853,7.76802,16.15698,15.23068,-9.55782
"","","","5243317 - Archdeacon Griffiths C.I.W. Primary School ",15.71763,-3.47045,10.11788,2.45751,14.42525
"","","","5243318 - Priory C.I.W. School ",99.75662,109.86388,104.69906,67.51146,11.65451
"","","","5243319 - St Joseph's R.C. (A) School ",".",".",".",".","."
"","","","5243320 - St Mary's R.C. (A) School ",-4.6549,2.76812,5.64473,9.27118,37.9648
"","","","5243321 - Cwmdu Voluntary Aided School ",".",".",".",".","."
"","","","5245200 - Llanerfyl C.I.W. Foundation School ",18.33385,7.74821,19.42612,11.27852,-25.37682
"","","","5243322 - Llangattock C.I.W. School ",-4.52582,15.1295,32.87203,27.39299,49.72272
"","","Powys - Secondary ","",109.84209,-1118.48867,-2740.11399,-2674.33907,-1392.51653
"","","Powys - Secondary ","5244000 - Caereinion High School ",114.48833,82.4157,14.87239,115.47539,-121.59835
"","","","5244001 - Llanfyllin High School ",212.39902,231.18386,59.12513,-72.1613,-15.62234
"","","","5244002 - Llanidloes High School ",-148.04319,-190.58105,-170.2925,-110.08487,47.34004
"","","","5244003 - Ysgol Bro Ddyfi ",".",".",".",".","."
"","","","5244011 - Newtown High School ",49.64804,176.53926,172.04776,328.37252,68.12875
"","","","5244013 - Welshpool High School ",-82.68475,-283.85822,-441.87711,-594.31814,-133.89812
"","","","5244014 - John Beddoes School ",".",".",".",".","."
"","","","5244019 - Llandrindod High School ",151.9863,-128.29241,-373.0957,0,"."
"","","","5244020 - Builth Wells High School ",-95.50072,-307.00994,-651.2505,0,"."
"","","","5244021 - Ysgol Maes-y-Dderwen ",42.96667,-103.95721,-162.544,-229.20676,-80.51326
"","","","5244022 - Brecon High School ",-238.49337,-522.02733,-847.83028,-1282.13608,-384.66273
"","","","5244023 - Gwernyfed High School ",206.71589,253.39585,347.9509,391.01038,-110.49774
"","","","5244024 - Crickhowell High School ",-103.64013,-326.29718,-687.22008,-985.03567,-17.72783
"","","","5244025 - Ysgol Calon Cymru ",".",".",".",-236.25454,-643.46495
"","","Powys - Middle ","5245500 - Ysgol Newydd 4-19 Machynlleth ",7.69373,-133.59062,-181.37568,-105.20816,-56.86328
"","","Powys - Special ","",-163.58795,-259.31414,-131.50267,-122.73047,-1.51357000000002
"","","Powys - Special ","5247001 - Brynllywarch Hall School ",24.97111,-27.39466,-28.9654,-10.56607,74.65919
"","","","5247002 - Ysgol Cedewain ",-365.98385,-445.81271,-271.93951,-288.81302,-8.48336
"","","","5247004 - Ysgol Penmaes ",177.42479,213.89323,169.40224,176.64862,-67.6894
"","Ceredigion ","","",1939.979,1726.607739,1948.456,1819.886889,2679.721745
"","Ceredigion ","Ceredigion - Nursery ","",".",".",".",".","."
"","","Ceredigion - Primary ","",1676.922,1472.920979,1553.747,1349.352823,1521.598551
"","","Ceredigion - Primary ","5262281 - Ysgol Gynradd Aberaeron ",57.385,33.809313,37.519,40.16904,73.26199
"","","","5262283 - Ysgol Gynradd Caerwedros ",".",".",".",".","."
"","","","5262284 - Cilcennin C.P. School ",21.919,2.360495,-19.475,-44.85268,0.00011
"","","","5262285 - Ciliau Parc C.P. School ",56.851,51.336045,45.567,29.55267,29.98246
"","","","5262286 - Ysgol Gynradd Cribyn ",".",".",".",".","."
"","","","5262287 - Cross Inn C.P. School ",".",".",".",".","."
"","","","5262288 - Ysgol Gynradd Dihewyd ",7.025,0.576148,9.907,4.2272,6.50955
"","","","5262289 - Ysgol Gynradd Felinfach ",42.256,32.526435,37.064,32.43627,22.04634
"","","","5262290 - Gwenlli C.P. School ",".",".",".",".","."
"","","","5262291 - Ysgol Gynradd Llanarth ",32.634,40.874425,39.12,30.18024,24.55656
"","","","5262292 - Ysgol Llanllwchaearn ",".",".",".",".","."
"","","","5262293 - Ysgol Gynradd Llannon ",25.456,8.783935,19.652,19.76898,10.1866
"","","","5262294 - Ysgol Gynradd Mydroilyn ",".",".",".",".","."
"","","","5262295 - Ysgol Gynradd Cei Newydd ",36.162,24.573435,31.103,42.08522,19.75122
"","","","5262296 - Ysgol Penlôn ",".",".",".",".","."
"","","","5262297 - Pennant C.P. School ",".",".",".",".","."
"","","","5262298 - Y.G. Talgarreg ",27.378,26.766993,14.199,22.33724,24.41323
"","","","5262299 - Ysgol Gymraeg Aberystwyth ",75.129,42.513975,48.325,26.05456,62.47219
"","","","5262300 - Ysgol  Gynradd Brynherbert ",".",".",".",".","."
"","","","5262301 - Capel Seion Primary School ",".",".",".",".","."
"","","","5262303 - Comins Coch C.P. School ",84.809,78.136667,110.977,99.36637,56.84849
"","","","5262304 - Cwmpadarn C.P. School ",31.375,0.000492,".",".","."
"","","","5262306 - Ysgol Gynradd Llanafan ",".",".",".",".","."
"","","","5262307 - Y.G. Llangynfelyn ",37.602,0.000465,".",".","."
"","","","5262308 - Ysgol Llanfarian ",43.78,35.267888,44.698,64.99962,67.33161
"","","","5262309 - Ysgol  Gynradd Llanfihangel-y-Creuddyn ",30.498,31.471862,35.358,51.27817,44.76998
"","","","5262310 - Ysgol Gynradd Llangwyryfon ",43.266,49.871085,57.284,52.37257,40.21169
"","","","5262311 - Ysgol Gynradd Llanilar ",28.842,35.416277,38.568,46.06223,33.74606
"","","","5262312 - Mynach C.P. School ",20.645,27.427972,35.211,33.85228,33.9566
"","","","5262313 - Ysgol Gynradd Penllwyn ",28.52,20.588828,30.395,33.84782,42.11507
"","","","5262314 - Ysgol Llwyn-Yr-Eos ",76.915,88.164113,67.518,41.28898,44.679593
"","","","5262315 - Ysgol Syr John Rhys ",14.3,14.619655,17.405,27.86985,25.88565
"","","","5262316 - Y.G. Rhydypennau ",43.615,33.405825,51.826,60.89579,54.63481
"","","","5262317 - Ysgol Gynradd Talybont ",34.536,17.22993,6.117,9.82016,11.79789
"","","","5262318 - Ysgol Gynradd Trefeurig ",".",".",".",".","."
"","","","5262319 - Ysgol Gynradd Aberporth ",41.057,58.650007,38.038,51.16976,51.42728
"","","","5262320 - Ysgol Gynradd Beulah ",36.195,38.236315,30.042,13.08933,-0.000343
"","","","5262321 - Ysgol Iau Aberteifi ",".",".",".",".","."
"","","","5262322 - Ysgol  Babanod  Aberteifi ",".",".",".",".","."
"","","","5262323 - Ysgol Gynradd Llechryd ",10.872,12.370212,24.328,27.22589,29.96539
"","","","5262324 - Penparc C.P. School ",56.327,52.544833,37.934,33.87901,46.42852
"","","","5262325 - Ysgol Y Ferwig ",".",".",".",".","."
"","","","5262328 - Ysgol Gynradd Cwrtnewydd ",26.811,14.05578,0,".","."
"","","","5262329 - Ffynnon Bedr C.P. School ",".",".",".",".","."
"","","","5262332 - Llanwnnen C.P. School ",10.388,15.187197,0,".","."
"","","","5262335 - Y.G. Capel Cynon ",".",".",".",".","."
"","","","5262336 - Y.G. Capel Dewi ",".",".",".",".","."
"","","","5262337 - Coedybryn C.P. ",26.78,21.064348,".",".","."
"","","","5262338 - Y.G. Glynarthen ",".",".",".",".","."
"","","","5262339 - Ysgol Gynradd Llandysul ",20.835,10.289718,".",".","."
"","","","5262340 - Ysgol Gynradd Penmorfa ",".",".",".",".","."
"","","","5262341 - Y.G. Pontgarreg ",".",".",".",".","."
"","","","5262342 - Ysgol Gynradd Pontsian ",17.886,9.26109,".",".","."
"","","","5262343 - Rhydlewis C.P. School ",".",".",".",".","."
"","","","5262344 - Ysgol Gynradd Tregroes ",".",".",".",".","."
"","","","5262345 - Ysgol Gynradd Trewen ",16.696,24.75303,17.459,3.64298,-0.000237
"","","","5262346 - Ysgol Gynradd Bronnant ",".",".",".",".","."
"","","","5262349 - Y.G. Llanddewi Brefi ",".",".",".",".","."
"","","","5262350 - Ysgol Gynradd Llangeitho ",".",".",".",".","."
"","","","5262351 - Ysgol  Gynradd Lledrod ",".",".",".",".","."
"","","","5262352 - Ysgol Gynradd Penuwch ",".",".",".",".","."
"","","","5262353 - Y.G. Pontrhydfendigaid ",40.147,50.305185,62.574,66.65661,58.77427
"","","","5262354 - Y.G. Swyddffynnon ",".",".",".",".","."
"","","","5262356 - Ysgol Gynradd Tregaron ",".",".",".",".","."
"","","","5262357 - Ysgol Ysbyty Ystwyth ",".",".",".",".","."
"","","","5262360 - Y.G. Blaenporth ",".",".",".",".","."
"","","","5262361 - Plascrug C.P.  School ",91.103,118.884653,145.248,98.6557,111.48844
"","","","5262362 - Ysgol Craig Yr Wylfa ",22.093,15.371575,10.144,15.44257,7.03094
"","","","5262363 - Ysgol Penrhyn Coch ",7.656,13.646692,47.091,12.20518,11.22094
"","","","5262364 - Aberbanc C.P. School ",-10.148,-24.017183,".",".","."
"","","","5262366 - Ysgol Y Dderi ",39.427,43.844742,30.261,19.61745,1.24756
"","","","5262367 - Ysgol Gynradd Cenarth ",18.339,34.155312,47.628,20.83059,18.14088
"","","","5262368 - Cardigan Community Primary School ",116.274,125.220475,106.518,84.50111,154.43223
"","","","5262369 - Ysgol Bro Sion Cwilt ",43.278,45.677684,57.409,61.7064,66.51852
"","","","5262370 - Rhos-y-Wlad ",".",".",".",".","."
"","","","5262371 - Ysgol Gynradd Gymunedol T Llew Jones ",45.554,17.959923,9.133,10.83277,42.349845
"","","","5262372 - Rhos Helyg Community Primary School ",57.94,35.49285,26.176,24.59372,55.37748
"","","","5262373 - Ysgol Dyffryn Cledlyn ",".",".",57.068,50.243983,77.348383
"","","","5263058 - Ysgol Gynradd Wirfoddol Mefenydd ",21.726,25.08122,15.222,2.10573,15.333
"","","","5263060 - Trefilan V.C.P. School ",".",".",".",".","."
"","","","5263317 - Ysgol Gynradd Gymorthedig Llanwenog ",5.588,-8.824267,0,".","."
"","","","5263318 - St Padarns R.C.P. School ",13.2,27.98733,33.136,29.34146,45.35776
"","","","5269998 - Ysgol Bro Pedr ",".",".",".",".","."
"","","Ceredigion - Secondary ","",277.856,65.58644,314.839,214.49862,639.55143
"","","Ceredigion - Secondary ","5264041 - Ysgol Gyfun Llanbedr-Pont-Steffan ",".",".",".",".","."
"","","","5264042 - Ysgol Gyfun Aberaeron ",251.483,177.55857,229.167,195.17597,254.9401
"","","","5264044 - Ysgol Uwchradd Aberteifi ",167.48,42.4381,80.753,-29.96403,-3.3023
"","","","5264046 - Ysgol Uwchradd Tregaron ",".",".",".",".","."
"","","","5264047 - Penglais Comprehensive School ",-87.385,134.92122,183.089,102.7062,236.5891
"","","","5264048 - Ysgol Gyfun Penweddig ",-184.044,-289.33145,-178.17,-53.41952,151.32453
"","","","5264059 - Ysgol Gyfun Dyffryn Teifi ",130.322,0,".",".","."
"","","","5269999 - Ysgol Bro Pedr ",".",".",".",".","."
"","","Ceredigion - Middle ","",-14.799,188.10032,79.87,256.035446,518.571764
"","","Ceredigion - Middle ","5265500 - Ysgol Bro Pedr ",-225.781,-260.338627,-419.595,-226.50942,-56.309947
"","","","5265501 - Ysgol Henry Richard ",210.982,199.151947,185.795,174.969816,202.382666
"","","","5265502 - Ysgol Bro Teifi ",".",249.287,313.67,307.57505,372.499045
"","","Ceredigion - Special ","",".",".",".",".","."
"","Pembrokeshire ","","",2156,1209,1693.42583,2420.16215,2077.12734
"","Pembrokeshire ","Pembrokeshire - Nursery ","5281001 - Pembroke Dock Nursery School ",".",".",".",".","."
"","","Pembrokeshire - Primary ","",1953,1283,1617.43222,1776.16215,1511.12734
"","","Pembrokeshire - Primary ","5282200 - Ysgol Gynradd Penffordd ",".",".",".",".","."
"","","","5282203 - Sageston C.P. School ",45,46,49.66819,45.09828,35.2851
"","","","5282205 - Bwlchygroes C.P. School ",".",".",".",".","."
"","","","5282206 - Ysgol Tegryn ",".",".",".",".","."
"","","","5282208 - Ysgol Dinas ",".",".",".",".","."
"","","","5282209 - Ysgol Gynradd Eglwyswrw ",61,47,41.14281,27.98794,11.80436
"","","","5282210 - Ysgol Iau Abergwaum ",".",".",".",".","."
"","","","5282212 - Ysgol Wdig ",44,27,17.54962,65.50585,40.64707
"","","","5282213 - Barn Street J.M.C.P.M. ",".",".",".",".","."
"","","","5282214 - Fenton C.P. School ",37,-17,-39.01433,71.88443,17.21526
"","","","5282214.1 - Fenton Infants C.P. ",".",".",".",".","."
"","","","5282215 - Prendergast CP Junior School ",".",".",".",".","."
"","","","5282216 - Prendergast Infants & Nursery CP School ",".",".",".",".","."
"","","","5282217 - Y.G. Sirol Hayscastle ",".",".",".",".","."
"","","","5282219 - Orielton C.P. School ",42,18,0,".","."
"","","","5282220 - Johnston C.P. School ",50,8,49.8287,9.04904,17.95964
"","","","5282222 - Lamphey C.P. School ",37,35,29.79594,56.19868,35.10681
"","","","5282223 - Brynconin C.P. School ",5,10,19.87055,17.53283,8.0008
"","","","5282224 - Y.G. Sirol Blaenffos ",".",".",".",".","."
"","","","5282225 - Y.G. Sirol Crymych ",".",".",".",".","."
"","","","5282226 - Ysgol Gynradd Glandwr ",".",".",".",".","."
"","","","5282227 - Ysgol Gynradd Hermon ",".",".",".",".","."
"","","","5282228 - Hook C.P. School ",21,22,22.07273,30.35716,19.81714
"","","","5282231 - Ysgol Llanychllwydog ",11,19,20.96111,10.22306,5.72335
"","","","5282232 - Loveston C.P. School ",".",".",".",".","."
"","","","5282233 - Maenclochog C.P. School ",42,31,46.06276,46.53705,53.65681
"","","","5282235 - Hakin C.P. Junior Mixed School ",".",".",".",".","."
"","","","5282236 - Hakin C.P. Infant and Nursery School ",".",".",".",".","."
"","","","5282237 - Milford Haven Junior School ",50,23,-32.78488,0,"."
"","","","5282241 - Ysgol Gynradd Trewyddel ",".",".",".",".","."
"","","","5282242 - Narberth C.P. School ",69,29,7.97849,-3.83548,-9.78315
"","","","5282243 - Ysgol Bro Ingli ",32,47,37.87013,31.34187,13.82107
"","","","5282244 - Neyland Junior C.P. School ",".",".",".",".","."
"","","","5282246 - Albion Square C.P. Infant School ",".",".",".",".","."
"","","","5282248 - Pennar CP Junior School ",".",".",".",".","."
"","","","5282250 - Puncheston CP School ",10,6,32.05013,11.38804,-0.0808
"","","","5282251 - St Davids C.P. ",".",".",".",".","."
"","","","5282253 - Ysgol Llandudoch ",19,8,8.98377,23.3962,8.53436
"","","","5282254 - Wolfcastle C.P. School ",34,46,47.9523,45.62117,35.16852
"","","","5282257 - Pentlepoir C.P. School ",".",".",".",".","."
"","","","5282258 - Saundersfoot C.P. School ",7,-14,7.92518,28.69113,48.7384
"","","","5282260 - Stepaside C.P. School ",57,27,43.71175,55.3746,35.97445
"","","","5282261 - Templeton C.P. School ",25,11,30.3641,30.56227,36.51963
"","","","5282262 - Tenby Junior Community School ",27,0,".",".","."
"","","","5282263 - Solva C.P. School ",39,53,60.58464,0,"."
"","","","5282264 - Pennar C.P. Infant School ",".",".",".",".","."
"","","","5282265 - The Meads C.P. Infant & Nursery School ",35,30,26.58463,0,"."
"","","","5282266 - Tavernspite C.P. School ",52,60,62.27352,53.61785,36.76914
"","","","5282267 - Mount Airey C.P. ",51,5,5.2645,0,"."
"","","","5282268 - Monkton C.P. Infant School ",".",".",".",".","."
"","","","5282269 - Golden Manor C.P. Infant ",".",".",".",".","."
"","","","5282270 - Ysgol Gymunedol Croesgoch ",9,-17,-9.49937,51.33569,39.36594
"","","","5282271 - Broad Haven C.P. School ",45,15,10.85633,6.41288,16.37204
"","","","5282272 - Grove Junior C.P. School ",".",".",".",".","."
"","","","5282273 - Roch C.P. School ",33,2,11.91814,43.76587,20.08333
"","","","5282276 - The Mount C.P. Infant & Nursery ",".",".",".",".","."
"","","","5282277 - Neyland C.P. Infant & Nursery ",".",".",".",".","."
"","","","5282279 - Ysgol Y Babanod A Meithinfa Abergwaun ",".",".",".",".","."
"","","","5282372 - Priory Junior Community School ",".",".",".",".","."
"","","","5282382 - Pembroke Dock C.P. School ",".",".",".",".","."
"","","","5282383 - Ysgol Glan Cleddau ",2,-5,25.83139,0,"."
"","","","5282384 - Coastlands C.P. School ",47,45,41.83657,47.84453,-5.90413
"","","","5282385 - Ysgol Clydau ",10,19,31.85712,19.80372,16.88826
"","","","5282386 - Pembroke Dock CP School ",1,-80,74.31437,70.37222,55.66814
