"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","","5142024 - Ysgol Gynradd Carmel ",0,".",".",".","."
"","","","5142026 - Ysgol Y Gelli ",26.206717,30.976117,38.452078,36.763082,30.648498
"","","","5142028 - Ysgol Pen-y-bryn ",62.560956,71.575899,65.65189,34.918603,8.359011
"","","","5142033 - Ysgol Treferthyr ",21.537941,18.945493,37.838382,27.526818,32.557182
"","","","5142035 - Ysgol Gynradd Cwm-y-Glo ",20.429398,11.276467,18.101589,36.860113,0
"","","","5142036 - Ysgol Gynradd Chwilog ",18.232118,0.546564,-6.097461,-4.537878,0.209559
"","","","5142039 - Ysgol Crud y Werin ",7.234497,0.122934,3.935816,17.857485,18.396256
"","","","5142042 - Ysgol Dolbadarn ",84.132077,87.505677,85.755489,45.877142,53.035516
"","","","5142046 - Ysgol Gynradd Edern ",17.945629,36.402692,28.721139,9.512965,31.020294
"","","","5142047 - Ysgol Gynradd Felinwnda ",8.433223,7.715992,26.916269,40.921309,10.288268
"","","","5142048 - Ysgol Bro Plenydd ",-2.879081,1.417765,9.011677,25.776687,16.563835
"","","","5142049 - Ysgol Garndolbenmaen ",12.600013,9.914928,21.386754,6.789538,0.088285
"","","","5142051 - Ysgol Glanadda ",47.293382,19.024725,36.977084,59.565462,63.021798
"","","","5142057 - Ysgol Gynradd y Groeslon ",0,".",".",".","."
"","","","5142059 - Ysgol Gynradd Llanaelhaearn ",10.548072,-1.430506,20.70316,21.451915,6.522231
"","","","5142060 - Ysgol Llanbedrog ",25.823714,9.672025,10.842051,3.324707,10.41107
"","","","5142066 - Ysgol Llangybi ",22.47499,8.94421,13.230077,3.637609,0.130841
"","","","5142069 - Ysgol Gynradd Llanllechid ",-4.706891,6.943277,23.845515,76.347641,74.445315
"","","","5142070 - Ysgol Llanllyfni ",75.530827,59.55796,61.574227,63.705551,80.760001
"","","","5142071 - Ysgol Llidiardau ",".",".",".",".","."
"","","","5142075 - Ysgol Babanod Morfa Nefyn ",27.031141,19.312551,20.974099,24.633118,31.175266
"","","","5142078 - Ysgol Baladeulyn ",-2.461175,-2.218706,15.00947,17.723371,11.37718
"","","","5142081 - Ysgol Gynradd Nebo ",27.583707,13.191218,5.36462,13.430516,18.30674
"","","","5142085 - Ysgol Gymuned Penisarwaun ",17.853706,8.795168,13.200153,-1.559509,5.765098
"","","","5142089 - Ysgol Bro Lleu ",33.309094,26.412393,47.184712,4.460364,4.42578
"","","","5142093 - Ysgol Pentreuchaf ",0.605042,5.297071,23.35183,13.857639,15.46528
"","","","5142097 - Ysgol Gynradd Rhiwlas ",-0.777816,-3.926681,11.047508,21.632275,15.309283
"","","","5142098 - Ysgol Gynradd Rhosgadfan ",-5.56811,-2.086637,7.7299,9.88331,3.411902
"","","","5142099 - Ysgol Gynradd Rhostryfan ",-9.030081,-4.535725,14.807366,19.824185,15.174262
"","","","5142101 - Y.G. Rhydyclafdy ",".",".",".",".","."
"","","","5142103 - Ysgol Sarn Bach ",29.044464,28.094697,22.4482,26.267147,21.776104
"","","","5142104 - Ysgol Eifion Wyn ",54.013195,22.458055,32.019929,16.531091,0.772667
"","","","5142108 - Ysgol Gynradd Talysarn ",22.550739,50.77746,57.079089,48.869473,48.679204
"","","","5142110 - Ysgol Y Gorlan ",38.470872,47.886367,53.213064,53.416147,67.078407
"","","","5142111 - Ysgol Yr Eifl ",5.624976,26.64212,41.239547,32.352414,9.978697
"","","","5142112 - Ysgol Gynradd Tudweiliog ",10.760215,-2.76541,18.046209,7.677331,8.199566
"","","","5142113 - Ysgol Waunfawr ",30.305333,4.240838,28.572563,20.074326,-5.120056
