"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)"
"Isle of Anglesey (1)",".",".",".",".",".",".",".",".",".",620,665,655,610,670,360,300,"."
"Gwynedd (1)",".",".",".",".",".",".",".",".",".",1210,1145,1245,1295,1300,415,370,"."
"Conwy (1)",".",".",".",".",".",".",".",".",".",1050,1055,1135,1155,1090,750,590,"."
"Denbighshire (1)",".",".",".",".",".",".",".",".",".",1050,1055,1125,1040,1150,555,445,"."
"Flintshire (1)",".",".",".",".",".",".",".",".",".",1545,1595,1620,1615,1595,870,740,"."
"Wrexham (1)",".",".",".",".",".",".",".",".",".",1135,1110,1215,1260,1250,185,145,"."
"Powys (2)",".",".",".",".",".",".",".",".",".",1205,1185,1230,1255,1340,620,565,"."
"Ceredigion (2)",".",".",".",".",".",".",".",".",".",535,505,535,560,565,440,365,15
"Pembrokeshire (2)",".",".",".",".",".",".",".",".",".",1135,1110,1160,1220,1280,680,590,"."
"Carmarthenshire (2)",".",".",".",".",".",".",".",".",".",1945,1900,1965,1965,1955,840,755,10
"Swansea (2)",".",".",".",".",".",".",".",".",".",2395,2330,2380,2445,2355,865,690,"."
"Neath Port Talbot (2)",".",".",".",".",".",".",".",".",".",1455,1455,1470,1480,1520,215,195,"."
"Bridgend (3)",".",".",".",".",".",".",".",".",".",1485,1445,1590,1505,1575,1035,815,"."
"Vale of Glamorgan (3)",".",".",".",".",".",".",".",".",".",1500,1360,1390,1510,1520,1030,760,"."
"Rhondda Cynon Taf (3)",".",".",".",".",".",".",".",".",".",2640,2405,2450,2515,2630,1635,1325,"*"
"Merthyr Tydfil (3)",".",".",".",".",".",".",".",".",".",570,565,560,600,605,".",".","."
"Caerphilly (4)",".",".",".",".",".",".",".",".",".",2010,1935,1960,2010,1970,775,600,"*"
"Blaenau Gwent (4)",".",".",".",".",".",".",".",".",".",350,360,400,420,430,".",".","."
"Torfaen (4)",".",".",".",".",".",".",".",".",".",1025,1075,1075,1085,1215,575,495,"."
"Monmouthshire (4)",".",".",".",".",".",".",".",".",".",835,755,745,780,800,505,420,"."
"Newport (4)",".",".",".",".",".",".",".",".",".",1620,1655,1600,1700,1635,1300,785,"*"
"Cardiff (3)",".",".",".",".",".",".",".",".",".",3390,3265,3330,3300,3305,1885,1345,"."
"Wales (5)",".",".",".",".",".",".",".",".",".",30715,29930,30825,31320,31755,15535,12300,25


