"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)"
"Isle of Anglesey (1)",".",680,780,775,750,745,710,665,655,".",".",".",".",".",".",".","."
"Gwynedd (1)",".",1240,1250,1305,1250,1255,1280,1300,1200,".",".",".",".",".",".",".","."
"Conwy (1)",".",1115,1145,1185,1110,1140,1115,1130,1090,".",".",".",".",".",".",".","."
"Denbighshire (1)",25,1000,1135,1115,1070,1150,1060,1035,1030,".",".",".",".",".",".",".","."
"Flintshire (1)",45,1665,1725,1770,1780,1790,1785,1685,1685,".",".",".",".",".",".",".","."
"Wrexham (1)",90,1600,1695,1690,1665,1710,1580,1575,1505,".","*",".",".",".",".",".","."
"Powys (2)",115,875,1320,1270,1275,1360,1245,1260,1285,".",".",".",".",".",".",".","."
"Ceredigion (2)",".",290,795,670,535,580,620,560,605,".",".",".",".",".",".",".","."
"Pembrokeshire (2)",315,1215,1340,1320,1300,1335,1300,1315,1290,".",".",".",".",".",".",".","."
"Carmarthenshire (2)",365,1605,2080,1980,1920,2095,1950,1945,1850,".",".",".",".",".",".",".","."
"Swansea (2)",810,2710,2790,2675,2650,2820,2640,2560,2520,".",".",".",".",".",".",".","."
"Neath Port Talbot (2)",460,1495,1595,1540,1540,1540,1490,1540,1575,".",".",".",".",".",".",".","."
"Bridgend (3)",320,1635,1750,1675,1600,1630,1615,1525,1600,".",".",".",".",".",".",".","."
"Vale of Glamorgan (3)",375,1190,1605,1640,1590,1625,1570,1475,1505,".",".",".",".",".",".",".","."
"Rhondda Cynon Taf (3)",570,2700,2870,2760,2800,2740,2665,2665,2670,".",".",".",".",".",".",".","."
"Merthyr Tydfil (3)",260,530,740,665,715,760,675,665,675,".",".",".",".",".",".",".","."
"Caerphilly (4)",575,2010,2190,2125,2135,2160,2040,2025,1985,".",".",".",".",".",".",".","."
"Blaenau Gwent (4)",270,665,720,750,720,750,655,720,635,".",".",".",".",".",".",".","."
"Torfaen (4)",190,730,1215,1110,1080,1070,1060,1080,1060,".",".",".",".",".",".",".","."
"Monmouthshire (4)",85,385,875,890,900,915,900,865,885,".",".",".",".",".",".",".","."
"Newport (4)",285,1400,1950,1950,1890,1990,1810,1695,1745,".",".",".",".",".",".",".","."
"Cardiff (3)",610,3730,4345,4265,4275,4215,4070,3845,3730,".",".",".",".",".",".",".","."
"Wales (5)",5765,30470,35910,35120,34550,35375,33845,33145,32775,".","*",".",".",".",".",".","."


