"","","","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","Pembrokeshire - Middle ",".",".",0,0,0,0,4491.902834,4825.174825,4906.39481
"","","Pembrokeshire - Secondary ",4395.268981,4428.071086,4383.406579,4552.602282,4762.773723,4716.339674,4861.693166,4997.8699,5169.083718
"","","Pembrokeshire - Special ",19500,18870.503597,19355.072464,19459.459459,19797.297297,19831.168831,20406.451613,20324.675325,21363.344051
"","Carmarthenshire ","",4189.364749,4273.784776,4319.870525,4076.305943,4056.10678,4041.84278,4234.983517,4196.388058,4607.092542
"","Carmarthenshire ","Carmarthenshire - Nursery ",4115.575342,3735.271481,4087.125,4345.986486,3956.8625,3791.064103,3614.4,3521.414141,3870.104762
"","","Carmarthenshire - Primary ",3680.28814,3720.256829,3761.533477,3739.263093,3674.545117,3649.718774,3637.382002,3580.192834,3927.652042
"","","Carmarthenshire - Middle ",".",".",0,0,0,0,0,0,0
"","","Carmarthenshire - Secondary ",4607.662091,4755.154267,4825.235836,4294.12956,4345.588812,4327.667447,4783.226663,4762.866514,5232.440158
"","","Carmarthenshire - Special ",24068.953488,24756.456977,24819.604651,26350.841667,26950.058333,28702.916667,31465.125,27401.361702,29229.828571
"","Swansea ","",3906.490436,3987.824359,3963.553312,3795.946398,3905.252625,3992.491383,4081.363894,4562.878227,4513.486641
"","Swansea ","Swansea - Nursery ",0,0,0,0,0,0,0,0,0
"","","Swansea - Primary ",3387.652348,3463.191264,3430.030173,3292.433536,3387.025337,3437.633002,3480.86755,4042.810587,3890.532016
"","","Swansea - Middle ",".",".",0,0,0,0,0,0,0
"","","Swansea - Secondary ",4445.492679,4554.073822,4556.328515,4349.29077,4466.54751,4615.843625,4725.246709,5006.878926,5119.493232
"","","Swansea - Special ",19168.090169,18317.89881,18644.809685,18643.92645,19526.795423,19600.567568,23336.286486,28642.857143,22926.375573
"","Neath Port Talbot ","",4015.216842,4072.292694,4048.047659,4046.504637,4102.516923,4114.333734,4174.428819,4339.605904,4524.475042
"","Neath Port Talbot ","Neath Port Talbot - Nursery ",0,0,0,0,0,0,0,0,0
"","","Neath Port Talbot - Primary ",3501.530151,3522.611367,3498.997211,3467.406908,3495.562838,3552.120819,3655.911047,3752.145811,3967.691169
"","","Neath Port Talbot - Middle ",".",".",0,0,4734.471644,4441.255798,4299.069227,4569.075058,4709.639034
"","","Neath Port Talbot - Secondary ",4359.215876,4459.905023,4438.302598,4480.285475,4497.184822,4405.934136,4420.96285,4641.112307,4672.459922
"","","Neath Port Talbot - Special ",18642.095385,18671.174677,18639.748566,19381.852813,18457.183471,18872.354452,19560.533516,19065.47502,20521.050889
"","Bridgend ","",3962.496189,4095.332048,4029.707738,4017.430308,4056.417335,4084.344942,4107.068063,4356.951177,4569.61314
"","Bridgend ","Bridgend - Nursery ",10626.84961,11666.666667,3520,0,0,0,0,0,0
"","","Bridgend - Primary ",3324.202078,3359.337672,3364.096081,3314.282887,3319.133992,3309.390976,3332.05677,3507.7802,3639.033205
"","","Bridgend - Middle ",".",".",0,0,0,0,0,0,0
"","","Bridgend - Secondary ",4183.665877,4425.667153,4348.60016,4391.787104,4422.632647,4496.611548,4517.353227,4765.980038,5028.245002
"","","Bridgend - Special ",17855.586599,21502.191325,19657.971014,20901.733651,22634.218289,22789.62536,22542.372881,23793.733681,24578.553616
"","Vale of Glamorgan ","",3947.700768,4025.548053,4037.3,4013.709341,4044.161811,4064.747544,4125.926265,4234.699429,4495.572835
"","Vale of Glamorgan ","Vale of Glamorgan - Nursery ",5592.545772,5579.436668,5556.313993,5668.816372,5828.66899,5819.148936,6423.529412,6161.290323,6894.117647
"","","Vale of Glamorgan - Primary ",3382.625703,3414.593519,3402.55102,3367.224374,3378.149674,3422.74433,3459.463851,3532.816959,3729.802513
"","","Vale of Glamorgan - Middle ",".",".",0,4389.706426,4343.916179,4210.575139,4202.821869,4257.021277,4396.687697
"","","Vale of Glamorgan - Secondary ",4096.708533,4237.166352,4292.854011,4272.995997,4302.2621,4276.484213,4357.134018,4395.633717,4615.928144
"","","Vale of Glamorgan - Special ",21980.802288,22809.022168,23181.295587,25204.217573,24059.184211,27123.015873,28146.825397,29507.142857,32921.232877
"","Rhondda Cynon Taf ","",3936.385006,4114.107351,4038.628992,4067.294912,4119.841169,4204.582544,4212.139435,4370.004868,4564.119883
"","Rhondda Cynon Taf ","Rhondda Cynon Taf - Nursery ",7866.130841,7049.676471,6563.575758,6089.891892,6202.806452,0,0,0,0
"","","Rhondda Cynon Taf - Primary ",3424.460454,3587.018816,3402.992144,3399.015911,3430.920396,3519.040334,3522.441953,3699.133373,3814.750662
"","","Rhondda Cynon Taf - Middle ",".",".",5769.141104,5816.10828,5141.624754,5789.34252,4706.953642,4658.382216,5024.784446
"","","Rhondda Cynon Taf - Secondary ",4256.530314,4466.687111,4534.369357,4620.39854,4675.014716,4739.985784,4775.050712,4825.463895,5011.598581
"","","Rhondda Cynon Taf - Special ",14721.575949,15223.096708,14870.242363,14929.905544,15451.787907,15169.209854,14568.45521,16137.763573,16877.974138
"","Merthyr Tydfil ","",3990.462293,4087.59746,4337.082057,4336.81034,4400.499369,4506.101732,4477.34631,4512.829151,4638.433224
"","Merthyr Tydfil ","Merthyr Tydfil - Nursery ",4833.294633,4329.703041,4692.455314,5753.752822,5193.027342,6102.20415,5997.840526,0,0
"","","Merthyr Tydfil - Primary ",3482.223399,3719.056349,3769.961669,3773.56026,3838.83981,3930.949854,3932.051352,4048.696434,4182.025142
"","","Merthyr Tydfil - Middle ",".",".",0,0,0,0,0,0,0
"","","Merthyr Tydfil - Secondary ",4229.080641,4138.312516,4721.314956,4647.472858,4723.491869,4730.865433,4718.902505,4573.669811,4690.695516
"","","Merthyr Tydfil - Special ",14496.598639,15934.46474,16685.736142,17788.3293,16697.629781,17932.675145,17444.472438,18983.168522,19352.03919
"","Caerphilly ","",3558.396135,3633.703878,3635.961653,3627.116806,3745.575789,3781.625234,3805.420183,3995.218796,4392.25409
"","Caerphilly ","Caerphilly - Nursery ",0,0,0,0,0,0,0,0,0
"","","Caerphilly - Primary ",3061.701374,3113.60163,3098.686067,3100.294528,3182.470816,3217.644508,3205.639098,3408.700666,3770.340824
"","","Caerphilly - Middle ",".",".",0,0,0,0,5549.132948,4481.981982,4918.344519
"","","Caerphilly - Secondary ",4005.797582,4123.303935,4167.346939,4161.437336,4311.053293,4353.55381,4342.661765,4535.813217,4922.189349
"","","Caerphilly - Special ",22144.578313,23421.487603,22320.610687,22375,24976.5625,23253.424658,23333.333333,23444.776119,26684.52381
