"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)"
"Isle of Anglesey (1)",".",".",".",".",".",".",".",".",".",665,625,660,660,600,340,265,"."
"Gwynedd (1)",".",".",".",".",".",".",".",".",".",1170,1200,1150,1255,1215,450,350,"."
"Conwy (1)",".",".",".",".",".",".",".",".",".",1070,1065,1055,1145,1100,680,565,"."
"Denbighshire (1)",".",".",".",".",".",".",".",".",".",1100,1050,1050,1110,990,520,450,"."
"Flintshire (1)",".",".",".",".",".",".",".",".",".",1680,1540,1590,1630,1565,820,680,"*"
"Wrexham (1)",".",".",".",".",".",".",".",".",".",1180,1135,1105,1205,1240,210,145,"."
"Powys (2)",".",".",".",".",".",".",".",".",".",1240,1200,1165,1230,1225,620,500,"."
"Ceredigion (2)",".",".",".",".",".",".",".",".",".",585,545,510,530,535,395,385,"."
"Pembrokeshire (2)",".",".",".",".",".",".",".",".",".",1165,1125,1105,1150,1215,530,545,"."
"Carmarthenshire (2)",".",".",".",".",".",".",".",".",".",1905,1945,1915,1975,1880,800,700,"."
"Swansea (2)",".",".",".",".",".",".",".",".",".",2425,2395,2310,2380,2410,910,645,"."
"Neath Port Talbot (2)",".",".",".",".",".",".",".",".",".",1515,1455,1470,1465,1465,190,195,"."
"Bridgend (3)",".",".",".",".",".",".",".",".",".",1500,1480,1450,1600,1470,960,785,"."
"Vale of Glamorgan (3)",".",".",".",".",".",".",".",".",".",1305,1340,1250,1280,1335,905,695,"."
"Rhondda Cynon Taf (3)",".",".",".",".",".",".",".",".",".",2530,2635,2385,2435,2480,1560,1255,"*"
"Merthyr Tydfil (3)",".",".",".",".",".",".",".",".",".",565,570,565,560,565,".",".","."
"Caerphilly (4)",".",".",".",".",".",".",".",".",".",2075,2010,1915,1960,1985,605,595,"."
"Blaenau Gwent (4)",".",".",".",".",".",".",".",".",".",420,350,365,390,405,".",".","."
"Torfaen (4)",".",".",".",".",".",".",".",".",".",1075,1025,1065,1080,1075,505,435,"."
"Monmouthshire (4)",".",".",".",".",".",".",".",".",".",825,835,750,740,780,470,405,"."
"Newport (4)",".",".",".",".",".",".",".",".",".",1640,1640,1645,1615,1670,1035,880,"."
"Cardiff (3)",".",".",".",".",".",".",".",".",".",3355,3375,3240,3305,3270,1825,1450,"."
"Wales (5)",".",".",".",".",".",".",".",".",".",31000,30530,29710,30695,30465,14325,11940,5


