"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)"
"Isle of Anglesey (1)",".",630,780,750,745,715,670,660,700,".",".",".",".",".",".",".","."
"Gwynedd (1)",".",1150,1325,1260,1245,1280,1305,1205,1135,".",".",".",".",".",".",".","."
"Conwy (1)",".",1120,1175,1100,1140,1120,1115,1085,1060,".",".",".",".",".",".",".","."
"Denbighshire (1)",25,1115,1115,1070,1145,1065,1045,1025,990,".",".",".",".",".",".",".","."
"Flintshire (1)",75,1655,1755,1785,1800,1775,1675,1685,1725,".",".",".",".",".",".",".","."
"Wrexham (1)",65,1625,1690,1660,1730,1590,1580,1500,1445,"*",".",".",".",".",".",".","*"
"Powys (2)",245,805,1245,1270,1375,1250,1255,1290,1300,".",".",".",".",".",".",".","."
"Ceredigion (2)",".",250,890,530,580,620,560,600,615,".",".",".",".",".",".",".","."
"Pembrokeshire (2)",315,1190,1315,1300,1320,1305,1315,1295,1270,".",".",".",".",".",".",".","."
"Carmarthenshire (2)",395,1500,1970,1900,2095,1990,1955,1880,1850,".",".",".",".",".",".",".","."
"Swansea (2)",830,2725,2640,2620,2820,2625,2570,2505,2520,".",".",".",".",".",".",".","."
"Neath Port Talbot (2)",495,1575,1540,1535,1540,1480,1525,1570,1420,".",".",".",".",".",".",".","."
"Bridgend (3)",305,1680,1655,1585,1625,1620,1505,1580,1485,".",".",".",".",".",".",".","."
"Vale of Glamorgan (3)",355,1270,1655,1605,1640,1590,1480,1505,1425,".",".",".",".",".",".",".","."
"Rhondda Cynon Taf (3)",570,2820,2775,2780,2745,2670,2655,2670,2520,".",".",".",".",".",".",".","."
"Merthyr Tydfil (3)",115,625,685,705,760,670,660,680,630,".",".",".",".",".",".",".","."
"Caerphilly (4)",520,2135,2100,2155,2180,2050,2045,1990,2070,".",".",".",".",".",".",".","."
"Blaenau Gwent (4)",275,670,745,720,755,665,725,650,700,".",".",".",".",".",".",".","."
"Torfaen (4)",".",995,1125,1090,1065,1050,1080,1070,970,".",".",".",".",".",".",".","."
"Monmouthshire (4)",80,365,880,890,915,895,860,890,890,".",".",".",".",".",".",".","."
"Newport (4)",220,1380,1920,1880,1985,1780,1685,1730,1680,".",".",".",".",".",".",".","."
"Cardiff (3)",670,3660,4270,4290,4235,4105,3845,3750,3475,".",".",".",".",".",".",".","."
"Wales (5)",5540,30930,35255,34490,35455,33910,33130,32805,31880,"*",".",".",".",".",".",".","*"


