"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)"
"Isle of Anglesey (1)",".",595,715,755,775,780,765,750,740,".",".",".",".",".",".",".","."
"Gwynedd (1)",".",1010,1120,1160,1265,1220,1265,1215,1210,".",".",".",".",".",".",".","."
"Conwy (1)",".",1050,1070,1140,1160,1200,1195,1110,1140,".",".",".",".",".",".",".","."
"Denbighshire (1)",20,1045,1085,1115,1055,1125,1100,1065,1130,".",".",".",".",".",".",".","."
"Flintshire (1)",70,1535,1650,1715,1795,1765,1805,1790,1805,".",".",".",".",".",".",".","."
"Wrexham (1)",95,1435,1570,1640,1660,1675,1640,1645,1675,".",".",".",".","*",".",".","."
"Powys (2)",110,360,1240,1225,1255,1310,1270,1265,1360,".",".",".",".",".",".",".","."
"Ceredigion (2)",5,365,615,555,605,570,625,505,530,".",".",".",".",".",".",".","."
"Pembrokeshire (2)",280,1090,1200,1145,1330,1305,1285,1270,1290,".",".",".",".",".",".",".","."
"Carmarthenshire (2)",365,1565,1905,1970,2065,2085,2000,1930,2110,".",".",".",".",".",".",".","."
"Swansea (2)",780,2505,2520,2605,2800,2775,2690,2640,2830,".",".",".",".",".",".",".","."
"Neath Port Talbot (2)",450,1365,1370,1385,1475,1540,1470,1470,1475,".",".",".",".",".",".",".","."
"Bridgend (3)",335,1540,1550,1645,1730,1780,1695,1600,1645,".",".",".",".",".",".",".","."
"Vale of Glamorgan (3)",420,1300,1505,1605,1585,1655,1680,1610,1665,".",".",".",".",".",".",".","."
"Rhondda Cynon Taf (3)",375,2475,2540,2585,2605,2725,2655,2645,2635,".",".",".",".",".",".",".","."
"Merthyr Tydfil (3)",205,750,720,720,735,720,655,715,770,".",".",".",".",".",".",".","."
"Caerphilly (4)",475,2000,2010,2065,2065,2145,2115,2080,2125,".",".",".",".",".",".",".","."
"Blaenau Gwent (4)",165,590,600,615,580,585,605,590,635,".",".",".",".",".",".",".","."
"Torfaen (4)",150,825,1075,1115,1100,1115,1130,1100,1090,".",".",".",".",".",".",".","."
"Monmouthshire (4)",110,395,840,885,925,900,900,910,915,".",".",".",".",".",".",".","."
"Newport (4)",270,1535,1950,2005,1970,1995,1990,1935,2020,".",".",".",".",".",".",".","."
"Cardiff (3)",690,3585,4125,4105,4335,4320,4160,4205,4115,".",".",".",".",".",".",".","."
"Wales (5)",5370,28925,32975,33755,34860,35285,34695,34045,34895,".",".",".",".","*",".",".","."


