"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)"
"Isle of Anglesey (1)",".",670,785,770,760,745,745,705,670,".",".",".",".",".",".",".","."
"Gwynedd (1)",".",1155,1320,1265,1300,1260,1265,1280,1310,".",".",".",".",".",".",".","."
"Conwy (1)",".",1090,1150,1165,1180,1100,1145,1095,1125,".",".",".",".",".",".",".","."
"Denbighshire (1)",20,1080,1030,1125,1110,1075,1150,1055,1040,".",".",".",".",".",".",".","."
"Flintshire (1)",60,1610,1770,1735,1780,1790,1785,1790,1690,".",".",".",".",".",".",".","."
"Wrexham (1)",80,1550,1660,1695,1680,1660,1705,1570,1565,".",".","*",".",".",".",".","."
"Powys (2)",125,850,1225,1330,1265,1275,1360,1255,1245,".",".",".",".",".",".",".","."
"Ceredigion (2)","*",355,700,575,640,510,530,580,520,".",".",".",".",".",".",".","."
"Pembrokeshire (2)",300,1055,1365,1335,1320,1305,1340,1300,1320,".",".",".",".",".",".",".","."
"Carmarthenshire (2)",350,1570,2035,2100,1960,1910,2080,1965,1945,".",".",".",".",".",".",".","."
"Swansea (2)",750,2515,2790,2795,2685,2670,2825,2670,2565,".",".",".",".",".",".",".","."
"Neath Port Talbot (2)",455,1390,1490,1555,1500,1495,1500,1460,1505,".",".",".",".",".",".",".","."
"Bridgend (3)",310,1555,1705,1750,1700,1595,1625,1625,1535,".",".",".",".",".",".",".","."
"Vale of Glamorgan (3)",405,1245,1590,1625,1660,1610,1635,1580,1485,".",".",".",".",".",".",".","."
"Rhondda Cynon Taf (3)",430,2680,2740,2870,2760,2785,2750,2680,2670,".",".",".",".",".",".",".","."
"Merthyr Tydfil (3)",180,630,725,715,660,715,760,675,665,".",".",".",".",".",".",".","."
"Caerphilly (4)",475,2060,2100,2195,2140,2135,2165,2050,2035,".",".",".",".",".",".",".","."
"Blaenau Gwent (4)",205,570,585,585,595,585,630,535,600,".",".",".",".",".",".",".","."
"Torfaen (4)",225,835,1085,1105,1120,1090,1070,1065,1075,".",".",".",".",".",".",".","."
"Monmouthshire (4)",110,380,890,885,905,905,940,905,870,".",".",".",".",".",".",".","."
"Newport (4)",255,1490,1920,1975,1960,1910,1985,1815,1695,".",".",".",".",".",".",".","."
"Cardiff (3)",615,3595,4340,4375,4220,4270,4210,4010,3830,".",".",".",".",".",".",".","."
"Wales (5)",5345,29935,35005,35535,34905,34385,35195,33665,32970,".",".","*",".",".",".",".","."


